state_abbrev,chamber,nominate_dim1,nominate_dim2,pieces_cosponsored,num_congresses,bioname,nominate_mid_1,nominate_mid_2,dem_cosponsors,rep_cosponsors,bill_number,vote_desc,vote_result,vote,rollnumber,icpsr,party_code_1,party_code_2
WV,1,-0.309,0.729,0.03233333333333333,0.65,"BYRD, Robert Carlyle",-0.277,-0.001,0.014953271028037384,0.04672897196261682,S5,"A bill to amend the procedures that apply to consideration of interstate class actions to assure fairer outcomes for class members and defendants, and for other purposes.",Bill Passed,0,9,1366,0,0
HI,1,-0.319,0.062,0.08337333333333333,0.575,"INOUYE, Daniel Ken",-0.277,-0.001,0.014953271028037384,0.04672897196261682,S5,"A bill to amend the procedures that apply to consideration of interstate class actions to assure fairer outcomes for class members and defendants, and for other purposes.",Bill Passed,0,9,4812,0,0
MA,1,-0.443,-0.49,0.093,0.55,"KENNEDY, Edward Moore (Ted)",-0.277,-0.001,0.014953271028037384,0.04672897196261682,S5,"A bill to amend the procedures that apply to consideration of interstate class actions to assure fairer outcomes for class members and defendants, and for other purposes.",Bill Passed,0,9,10808,0,0
AK,1,0.219,-0.5,0.058146666666666666,0.475,"STEVENS, Theodore Fulton (Ted)",-0.277,-0.001,0.014953271028037384,0.04672897196261682,S5,"A bill to amend the procedures that apply to consideration of interstate class actions to assure fairer outcomes for class members and defendants, and for other purposes.",Bill Passed,1,9,12109,0,1
MD,1,-0.435,-0.221,0.05884,0.425,"SARBANES, Paul Spyros",-0.277,-0.001,0.014953271028037384,0.04672897196261682,S5,"A bill to amend the procedures that apply to consideration of interstate class actions to assure fairer outcomes for class members and defendants, and for other purposes.",Bill Passed,0,9,13039,0,0
MS,1,0.287,0.051,0.08593333333333333,0.4,"COCHRAN, William Thad",-0.277,-0.001,0.014953271028037384,0.04672897196261682,S5,"A bill to amend the procedures that apply to consideration of interstate class actions to assure fairer outcomes for class members and defendants, and for other purposes.",Bill Passed,1,9,14009,0,1
MS,1,0.39,0.194,0.05485333333333333,0.4,"LOTT, Chester Trent",-0.277,-0.001,0.014953271028037384,0.04672897196261682,S5,"A bill to amend the procedures that apply to consideration of interstate class actions to assure fairer outcomes for class members and defendants, and for other purposes.",Bill Passed,1,9,14031,0,1
DE,1,-0.314,-0.042,0.04510666666666667,0.4,"BIDEN, Joseph Robinette, Jr.",-0.277,-0.001,0.014953271028037384,0.04672897196261682,S5,"A bill to amend the procedures that apply to consideration of interstate class actions to assure fairer outcomes for class members and defendants, and for other purposes.",Bill Passed,0,9,14101,0,0
NM,1,0.257,-0.247,0.057986666666666666,0.4,"DOMENICI, Pete Vichi",-0.277,-0.001,0.014953271028037384,0.04672897196261682,S5,"A bill to amend the procedures that apply to consideration of interstate class actions to assure fairer outcomes for class members and defendants, and for other purposes.",Bill Passed,1,9,14103,0,1
MT,1,-0.212,0.017,0.06601333333333333,0.375,"BAUCUS, Max Sieben",-0.277,-0.001,0.014953271028037384,0.04672897196261682,S5,"A bill to amend the procedures that apply to consideration of interstate class actions to assure fairer outcomes for class members and defendants, and for other purposes.",Bill Passed,0,9,14203,0,0
CT,1,-0.328,-0.317,0.0802,0.375,"DODD, Christopher John",-0.277,-0.001,0.014953271028037384,0.04672897196261682,S5,"A bill to amend the procedures that apply to consideration of interstate class actions to assure fairer outcomes for class members and defendants, and for other purposes.",Bill Passed,1,9,14213,0,0
IA,1,0.362,-0.035,0.09996,0.375,"GRASSLEY, Charles Ernest",-0.277,-0.001,0.014953271028037384,0.04672897196261682,S5,"A bill to amend the procedures that apply to consideration of interstate class actions to assure fairer outcomes for class members and defendants, and for other purposes.",Bill Passed,1,9,14226,0,1
IA,1,-0.351,-0.546,0.06893333333333333,0.375,"HARKIN, Thomas Richard (Tom)",-0.277,-0.001,0.014953271028037384,0.04672897196261682,S5,"A bill to amend the procedures that apply to consideration of interstate class actions to assure fairer outcomes for class members and defendants, and for other purposes.",Bill Passed,0,9,14230,0,0
