state_abbrev,chamber,nominate_dim1,nominate_dim2,pieces_cosponsored,num_congresses,bioname,nominate_mid_1,nominate_mid_2,dem_cosponsors,rep_cosponsors,bill_number,vote_desc,vote_result,vote,rollnumber,icpsr,party_code_1,party_code_2
AK,0,0.283,0.022,0.08352,0.6,"YOUNG, Donald Edwin",0.075,-0.635,0.0,0.0,HR335,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces,Passed,1,17,14066,0,1
KY,0,0.333,0.153,0.03849333333333333,0.5,"ROGERS, Harold Dallas (Hal)",0.075,-0.635,0.0,0.0,HR335,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces,Passed,1,17,14854,0,1
NJ,0,0.182,-0.173,0.10092,0.5,"SMITH, Christopher Henry",0.075,-0.635,0.0,0.0,HR335,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces,Passed,1,17,14863,0,1
MD,0,-0.381,0.122,0.05404,0.5,"HOYER, Steny Hamilton",0.075,-0.635,0.0,0.0,HR335,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces,Passed,1,17,14873,0,0
TN,0,-0.164,-0.033,0.0488,0.375,"COOPER, James Hayes Shofner",0.075,-0.635,0.0,0.0,HR335,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces,Passed,1,17,15019,0,0
OH,0,-0.342,0.132,0.13536,0.475,"KAPTUR, Marcia Carolyn (Marcy)",0.075,-0.635,0.0,0.0,HR335,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces,Passed,1,17,15029,0,0
OR,0,-0.427,-0.002,0.10810666666666667,0.425,"DeFAZIO, Peter Anthony",0.075,-0.635,0.0,0.0,HR335,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces,Passed,1,17,15410,0,0
MD,0,-0.441,-0.327,0.036693333333333335,0.15,"MFUME, Kweisi",0.075,-0.635,0.0,0.0,HR335,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces,Passed,1,17,15433,0,0
NC,0,-0.343,-0.03,0.07106666666666667,0.4,"PRICE, David Eugene",0.075,-0.635,0.0,0.0,HR335,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces,Passed,1,17,15438,0,0
MI,0,0.32,-0.355,0.05846666666666667,0.425,"UPTON, Frederick Stephen",0.075,-0.635,0.0,0.0,HR335,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces,Passed,1,17,15446,0,1
