state_abbrev,chamber,nominate_dim1,nominate_dim2,pieces_cosponsored,num_congresses,bioname,nominate_mid_1,nominate_mid_2,dem_cosponsors,rep_cosponsors,bill_number,vote_desc,vote_result,vote,rollnumber,icpsr,party_code_1,party_code_2
KY,0,0.333,0.153,0.03849333333333333,0.55,"ROGERS, Harold Dallas (Hal)",-0.284,0.147,0.003738317757009346,0.09532710280373832,S5,Laken Riley Act,Passed,1,22,14854,0,1
NJ,0,0.182,-0.173,0.10086666666666666,0.55,"SMITH, Christopher Henry",-0.284,0.147,0.003738317757009346,0.09532710280373832,S5,Laken Riley Act,Passed,1,22,14863,0,1
MD,0,-0.381,0.122,0.05402666666666667,0.55,"HOYER, Steny Hamilton",-0.284,0.147,0.003738317757009346,0.09532710280373832,S5,Laken Riley Act,Passed,0,22,14873,0,0
OH,0,-0.342,0.132,0.13536,0.525,"KAPTUR, Marcia Carolyn (Marcy)",-0.284,0.147,0.003738317757009346,0.09532710280373832,S5,Laken Riley Act,Passed,1,22,15029,0,0
MD,0,-0.441,-0.327,0.03668,0.2,"MFUME, Kweisi",-0.284,0.147,0.003738317757009346,0.09532710280373832,S5,Laken Riley Act,Passed,0,22,15433,0,0
NJ,0,-0.402,-0.161,0.0886,0.475,"PALLONE, Frank, Jr.",-0.284,0.147,0.003738317757009346,0.09532710280373832,S5,Laken Riley Act,Passed,0,22,15454,0,0
MA,0,-0.417,-0.106,0.062,0.45,"NEAL, Richard Edmund",-0.284,0.147,0.003738317757009346,0.09532710280373832,S5,Laken Riley Act,Passed,0,22,15616,0,0
CA,0,0.476,0.03,0.03272,0.275,"ISSA, Darrell",-0.284,0.147,0.003738317757009346,0.09532710280373832,S5,Laken Riley Act,Passed,1,22,20107,0,1
MA,0,-0.343,0.048,0.057973333333333335,0.3,"LYNCH, Stephen F.",-0.284,0.147,0.003738317757009346,0.09532710280373832,S5,Laken Riley Act,Passed,1,22,20119,0,0
MN,0,-0.419,-0.185,0.09086666666666667,0.3,"McCOLLUM, Betty",-0.284,0.147,0.003738317757009346,0.09532710280373832,S5,Laken Riley Act,Passed,0,22,20122,0,0
MO,0,0.448,0.162,0.02732,0.3,"GRAVES, Samuel",-0.284,0.147,0.003738317757009346,0.09532710280373832,S5,Laken Riley Act,Passed,1,22,20124,0,1
SC,0,0.53,0.16,0.06202666666666667,0.3,"WILSON, Addison Graves (Joe)",-0.284,0.147,0.003738317757009346,0.09532710280373832,S5,Laken Riley Act,Passed,1,22,20138,0,1
WA,0,-0.365,0.165,0.04768,0.3,"LARSEN, Richard Ray (Rick)",-0.284,0.147,0.003738317757009346,0.09532710280373832,S5,Laken Riley Act,Passed,0,22,20145,0,0
AL,0,0.378,0.379,0.026106666666666667,0.275,"ROGERS, Mike Dennis",-0.284,0.147,0.003738317757009346,0.09532710280373832,S5,Laken Riley Act,Passed,1,22,20301,0,1
CA,0,-0.508,-0.131,0.06362666666666666,0.275,"SÁNCHEZ, Linda T.",-0.284,0.147,0.003738317757009346,0.09532710280373832,S5,Laken Riley Act,Passed,0,22,20310,0,0
FL,0,0.281,0.16,0.028813333333333333,0.275,"DIAZ-BALART, Mario",-0.284,0.147,0.003738317757009346,0.09532710280373832,S5,Laken Riley Act,Passed,1,22,20316,0,1
GA,0,-0.305,0.167,0.04677333333333333,0.275,"SCOTT, David",-0.284,0.147,0.003738317757009346,0.09532710280373832,S5,Laken Riley Act,Passed,0,22,20321,0,0
