state_abbrev,chamber,nominate_dim1,nominate_dim2,pieces_cosponsored,num_congresses,bioname,nominate_mid_1,nominate_mid_2,dem_cosponsors,rep_cosponsors,bill_number,vote_desc,vote_result,vote,rollnumber,icpsr,party_code_1,party_code_2
NM,1,-0.266,0.045,0.06877333333333334,0.325,"BINGAMAN, Jesse Francis, Jr. (Jeff)",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,14912,0,0
NJ,1,-0.382,-0.579,0.07349333333333333,0.3,"LAUTENBERG, Frank Raleigh",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,14914,0,0
MA,1,-0.352,-0.382,0.08492,0.3,"KERRY, John Forbes",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,14920,0,0
KY,1,0.402,0.017,0.03762666666666667,0.3,"McCONNELL, Addison Mitchell (Mitch)",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,0,3,14921,0,1
WV,1,-0.326,0.177,0.049986666666666665,0.3,"ROCKEFELLER, John Davison IV (Jay)",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,14922,0,0
CA,1,-0.45,-0.423,0.11684,0.325,"BOXER, Barbara",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,15011,0,0
DE,1,-0.179,-0.225,0.06092,0.225,"CARPER, Thomas Richard",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,15015,0,0
IL,1,-0.342,-0.31,0.1376,0.325,"DURBIN, Richard Joseph",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,15021,0,0
AZ,1,0.381,-0.626,0.06181333333333333,0.325,"McCAIN, John Sidney, III",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,0,3,15039,0,1
NV,1,-0.276,0.258,0.06598666666666667,0.325,"REID, Harry",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,15054,0,0
MD,1,-0.32,-0.224,0.08349333333333334,0.275,"CARDIN, Benjamin Louis",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,15408,0,0
OK,1,0.552,0.045,0.07286666666666666,0.3,"INHOFE, James Mountain",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,0,3,15424,0,1
