state_abbrev,chamber,nominate_dim1,nominate_dim2,pieces_cosponsored,num_congresses,bioname,nominate_mid_1,nominate_mid_2,dem_cosponsors,rep_cosponsors,bill_number,vote_desc,vote_result,vote,rollnumber,icpsr,party_code_1,party_code_2
KY,0,0.333,0.153,0.03849333333333333,0.525,"ROGERS, Harold Dallas (Hal)",0.169,-0.794,0.0,0.12710280373831775,HJRES7,"Relating to a national emergency declared by the President on March 13, 2020",Passed,1,103,14854,0,1
NJ,0,0.182,-0.173,0.10086666666666666,0.525,"SMITH, Christopher Henry",0.169,-0.794,0.0,0.12710280373831775,HJRES7,"Relating to a national emergency declared by the President on March 13, 2020",Passed,1,103,14863,0,1
MD,0,-0.381,0.122,0.05402666666666667,0.525,"HOYER, Steny Hamilton",0.169,-0.794,0.0,0.12710280373831775,HJRES7,"Relating to a national emergency declared by the President on March 13, 2020",Passed,0,103,14873,0,0
OH,0,-0.342,0.132,0.13536,0.5,"KAPTUR, Marcia Carolyn (Marcy)",0.169,-0.794,0.0,0.12710280373831775,HJRES7,"Relating to a national emergency declared by the President on March 13, 2020",Passed,0,103,15029,0,0
MD,0,-0.441,-0.327,0.03668,0.175,"MFUME, Kweisi",0.169,-0.794,0.0,0.12710280373831775,HJRES7,"Relating to a national emergency declared by the President on March 13, 2020",Passed,0,103,15433,0,0
CA,0,-0.489,-0.179,0.06732,0.45,"PELOSI, Nancy",0.169,-0.794,0.0,0.12710280373831775,HJRES7,"Relating to a national emergency declared by the President on March 13, 2020",Passed,0,103,15448,0,0
NJ,0,-0.402,-0.162,0.0886,0.45,"PALLONE, Frank, Jr.",0.169,-0.794,0.0,0.12710280373831775,HJRES7,"Relating to a national emergency declared by the President on March 13, 2020",Passed,0,103,15454,0,0
MA,0,-0.417,-0.106,0.062,0.425,"NEAL, Richard Edmund",0.169,-0.794,0.0,0.12710280373831775,HJRES7,"Relating to a national emergency declared by the President on March 13, 2020",Passed,0,103,15616,0,0
CA,0,-0.352,-0.118,0.0756,0.275,"SCHIFF, Adam",0.169,-0.794,0.0,0.12710280373831775,HJRES7,"Relating to a national emergency declared by the President on March 13, 2020",Passed,0,103,20104,0,0
CA,0,0.476,0.03,0.03272,0.25,"ISSA, Darrell",0.169,-0.794,0.0,0.12710280373831775,HJRES7,"Relating to a national emergency declared by the President on March 13, 2020",Passed,1,103,20107,0,1
