state_abbrev,chamber,nominate_dim1,nominate_dim2,pieces_cosponsored,num_congresses,bioname,nominate_mid_1,nominate_mid_2,dem_cosponsors,rep_cosponsors,bill_number,vote_desc,vote_result,vote,rollnumber,icpsr,party_code_1,party_code_2
FL,0,0.3,-0.142,0.037333333333333336,0.275,"SHAW, Eugene Clay, Jr.",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,14860,0,1
NJ,0,0.182,-0.173,0.10092,0.275,"SMITH, Christopher Henry",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,14863,0,1
VA,0,0.284,-0.213,0.07484,0.275,"WOLF, Frank Rudolph",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,14869,0,1
MD,0,-0.381,0.122,0.05404,0.275,"HOYER, Steny Hamilton",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,14873,0,0
OH,0,0.382,-0.093,0.03496,0.275,"OXLEY, Michael Garver",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,14875,0,1
NY,0,-0.429,-0.165,0.09408,0.25,"ACKERMAN, Gary Leonard",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15000,0,0
CA,0,-0.404,-0.286,0.09348,0.25,"BERMAN, Howard Lawrence",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15005,0,0
FL,0,0.382,-0.219,0.04272,0.25,"BILIRAKIS, Michael",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15006,0,1
NY,0,0.103,-0.718,0.050973333333333336,0.25,"BOEHLERT, Sherwood Louis",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15007,0,1
VA,0,-0.265,0.189,0.0558,0.25,"BOUCHER, Frederick C.",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15010,0,0
IN,0,0.585,-0.026,0.08181333333333334,0.25,"BURTON, Danny Lee",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15014,0,1
TN,0,-0.164,-0.033,0.0488,0.15,"COOPER, James Hayes Shofner",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15019,0,0
IL,0,-0.454,-0.181,0.09166666666666666,0.25,"EVANS, Lane Allen",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15023,0,0
CT,0,0.122,-0.513,0.04837333333333333,0.25,"JOHNSON, Nancy Lee",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15028,0,1
OH,0,-0.342,0.132,0.13537333333333335,0.25,"KAPTUR, Marcia Carolyn (Marcy)",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15029,0,0
MI,0,-0.379,-0.091,0.07324,0.25,"LEVIN, Sander Martin",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15033,0,0
IL,0,-0.176,0.3,0.0674,0.25,"LIPINSKI, William Oliver",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15036,0,0
TX,0,-0.272,0.712,0.043346666666666665,0.25,"ORTIZ, Solomon P.",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15049,0,0
NY,0,-0.569,-0.516,0.10594666666666666,0.25,"OWENS, Major Robert Odell",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15050,0,0
SC,0,-0.256,0.255,0.04090666666666667,0.25,"SPRATT, John McKee, Jr.",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15064,0,0
WV,0,-0.292,0.657,0.027933333333333334,0.25,"MOLLOHAN, Alan Bowlby",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15083,0,0
TX,0,0.528,0.047,0.03748,0.225,"BARTON, Joe Linus",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15085,0,1
NC,0,0.52,-0.081,0.0454,0.225,"COBLE, Howard",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15092,0,1
TX,0,0.458,0.555,0.0164,0.225,"COMBEST, Larry Ed",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15093,0,1
TN,0,-0.204,0.286,0.0586,0.225,"GORDON, Barton Jennings",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15100,0,0
PA,0,-0.303,0.364,0.03405333333333333,0.225,"KANJORSKI, Paul E.",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15104,0,0
AZ,0,0.351,-0.534,0.0294,0.225,"KOLBE, James Thomas",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15105,0,1
NJ,0,0.238,-0.378,0.050453333333333336,0.225,"SAXTON, Hugh James",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15112,0,1
IN,0,-0.402,0.244,0.031626666666666664,0.225,"VISCLOSKY, Peter",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15124,0,0
HI,0,-0.432,-0.026,0.05789333333333333,0.175,"ABERCROMBIE, Neil",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15245,0,0
LA,0,0.423,0.022,0.0356,0.2,"BAKER, Richard Hugh",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15401,0,1
MD,0,-0.32,-0.224,0.08349333333333334,0.2,"CARDIN, Benjamin Louis",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15408,0,0
OR,0,-0.427,-0.002,0.10810666666666667,0.2,"DeFAZIO, Peter Anthony",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15410,0,0
CA,0,0.402,-0.1,0.04357333333333333,0.2,"GALLEGLY, Elton W.",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15413,0,1
CO,0,0.591,0.13,0.024226666666666667,0.2,"HEFLEY, Joel M.",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15419,0,1
CA,0,0.551,0.117,0.0462,0.2,"HERGER, Walter William (Wally)",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15420,0,1
NY,0,0.154,-0.281,0.02308,0.2,"HOUGHTON, Amory, Jr.",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15423,0,1
GA,0,-0.589,-0.221,0.10930666666666666,0.2,"LEWIS, John R.",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15431,0,0
NC,0,-0.343,-0.03,0.07106666666666667,0.175,"PRICE, David Eugene",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15438,0,0
NY,0,-0.465,-0.104,0.08998666666666667,0.2,"SLAUGHTER, Louise McIntosh",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15444,0,0
TX,0,0.425,0.061,0.045226666666666665,0.2,"SMITH, Lamar Seeligson",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15445,0,1
MI,0,0.32,-0.355,0.05846666666666667,0.2,"UPTON, Frederick Stephen",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15446,0,1
PA,0,0.232,-0.324,0.03436,0.2,"WELDON, Wayne Curtis (Curt)",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15447,0,1
CA,0,-0.489,-0.179,0.06732,0.2,"PELOSI, Nancy",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15448,0,0
CT,0,0.129,-0.992,0.06352,0.2,"SHAYS, Christopher H.",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15449,0,1
LA,0,0.362,0.08,0.021706666666666666,0.2,"McCRERY, James O., III",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15451,0,1
IL,0,-0.317,0.657,0.04330666666666667,0.2,"COSTELLO, Jerry Francis",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15453,0,0
NJ,0,-0.402,-0.162,0.08861333333333334,0.2,"PALLONE, Frank, Jr.",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15454,0,0
TN,0,0.604,-0.476,0.04976,0.2,"DUNCAN, John J., Jr.",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15455,0,1
CA,0,0.54,-0.236,0.026546666666666666,0.175,"COX, Charles Christopher",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15601,0,1
NY,0,-0.408,-0.093,0.09648,0.175,"ENGEL, Eliot Lance",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15603,0,0
OH,0,0.254,0.106,0.026973333333333332,0.175,"GILLMOR, Paul Eugene",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15604,0,1
FL,0,0.421,-0.394,0.0226,0.175,"GOSS, Porter J.",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15605,0,1
NY,0,-0.389,-0.152,0.07465333333333334,0.175,"LOWEY, Nita M.",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15612,0,0
WA,0,-0.666,-0.197,0.09621333333333333,0.175,"McDERMOTT, James A.",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15613,0,0
NY,0,-0.369,0.369,0.06408,0.175,"McNULTY, Michael Robert",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15614,0,0
MA,0,-0.417,-0.106,0.062,0.175,"NEAL, Richard Edmund",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15616,0,0
NJ,0,-0.592,-0.547,0.08458666666666667,0.175,"PAYNE, Donald Milford",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15619,0,0
CA,0,0.626,-0.417,0.05048,0.175,"ROHRABACHER, Dana",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15621,0,1
FL,0,0.554,-0.075,0.03468,0.175,"STEARNS, Clifford Bundy",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15627,0,1
TN,0,-0.182,0.648,0.022426666666666668,0.175,"TANNER, John S.",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15628,0,0
NY,0,0.208,-0.19,0.04872,0.175,"WALSH, James T.",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15630,0,1
FL,0,0.244,-0.225,0.052893333333333334,0.175,"ROS-LEHTINEN, Ileana",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15634,0,1
MS,0,-0.045,0.893,0.024946666666666666,0.175,"TAYLOR, Gary Eugene (Gene)",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,15637,0,0
AZ,0,0.855,-0.518,0.020373333333333334,0.025,"FLAKE, Jeff",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,20100,0,1
AR,0,0.427,0.338,0.05553333333333333,0.025,"BOOZMAN, John",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,20101,0,1
AR,0,-0.201,0.89,0.02656,0.025,"ROSS, Michael Avery",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,20102,0,0
CA,0,-0.529,-0.482,0.06584,0.025,"HONDA, Mike",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,20103,0,0
CA,0,-0.352,-0.118,0.0756,0.025,"SCHIFF, Adam",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,20104,0,0
CA,0,-0.508,-0.312,0.024466666666666668,0.025,"SOLIS, Hilda L.",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,20105,0,0
CA,0,-0.531,-0.351,0.031093333333333334,0.025,"WATSON, Diane Edith",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,20106,0,0
CA,0,0.476,0.03,0.03272,0.025,"ISSA, Darrell",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,20107,0,1
CA,0,-0.343,-0.103,0.046733333333333335,0.025,"DAVIS, Susan A.",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,20108,0,0
CT,0,0.171,-0.566,0.01628,0.025,"SIMMONS, Robert (Rob)",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,20109,0,1
FL,0,0.633,0.155,0.03713333333333333,0.025,"MILLER, Jefferson B. (Jeff)",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,20110,0,1
FL,0,0.333,0.337,0.015546666666666667,0.025,"CRENSHAW, Ander",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,20111,0,1
FL,0,0.458,-0.068,0.009173333333333334,0.025,"KELLER, Richard (Ric)",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,20112,0,1
