congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
118,Senate,49703,2,0,ME,200,,,"COLLINS, Susan Margaret",C001035,1952,,0.124,-0.505,-75.49261,0.89176,659,39,,0.149,-0.413
118,Senate,15408,52,0,MD,100,,,"CARDIN, Benjamin Louis",C000141,1943,,-0.32,-0.224,-32.75116,0.95019,641,11,,-0.442,-0.079
118,Senate,20330,52,0,MD,100,,,"VAN HOLLEN, Christopher",V000128,1959,,-0.397,-0.226,-30.98997,0.95273,640,18,,-0.53,-0.154
118,Senate,14435,3,0,MA,100,,,"MARKEY, Edward John",M000133,1946,,-0.517,-0.47,-39.34505,0.94019,638,19,,-0.669,-0.744
118,Senate,41301,3,0,MA,100,,,"WARREN, Elizabeth",W000817,1949,,-0.744,-0.37,-25.82207,0.96129,654,14,,-0.702,-0.457
118,Senate,20923,23,0,MI,100,,,"PETERS, Gary C.",P000595,1958,,-0.249,-0.185,-20.00051,0.96997,656,6,,-0.258,-0.076
118,Senate,29732,23,0,MI,100,,,"STABENOW, Deborah Ann",S000770,1950,,-0.343,-0.019,-20.1058,0.96912,641,7,,-0.352,-0.134
118,Senate,40700,33,0,MN,100,,,"KLOBUCHAR, Amy",K000367,1960,,-0.279,-0.326,-23.34177,0.96462,648,8,,-0.247,-0.111
118,Senate,41706,33,0,MN,100,,,"SMITH, Tina",S001203,1958,,-0.408,-0.114,-14.40945,0.97784,643,2,,-0.418,-0.041
118,Senate,29534,46,0,MS,200,,,"WICKER, Roger F.",W000437,1951,,0.377,0.34,-87.42593,0.87379,648,38,,0.39,0.282
118,Senate,41707,46,0,MS,200,,,"HYDE-SMITH, Cindy",H001079,1959,,0.452,0.328,-85.81908,0.87377,636,39,,0.475,0.249
