congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2,pieces_cosponsored,num_congresses
119,Senate,41703,45,0,LA,200,,,"KENNEDY, John Neely",K000393,1951.0,,0.561,-0.154,-17.74078,0.9712,607,8,,0.701,-0.235,1095,4
119,Senate,41300,2,0,ME,328,,,"KING, Angus Stanley, Jr.",K000383,1944.0,,-0.167,-0.19,-103.71247,0.84365,610,42,,-0.172,-0.195,3026,6
119,Senate,49703,2,0,ME,200,,,"COLLINS, Susan Margaret",C001035,1952.0,,0.124,-0.505,-90.96871,0.86353,620,53,,0.189,-0.4,6525,14
119,Senate,20330,52,0,MD,100,,,"VAN HOLLEN, Christopher",V000128,1959.0,,-0.397,-0.226,-34.29092,0.94516,608,15,,-0.476,-0.503,6606,11
119,Senate,42500,52,0,MD,100,,,"ALSOBROOKS, Angela Deneece",A000382,1971.0,,-0.436,0.024,-51.17206,0.91966,611,24,,-0.436,0.024,264,0
119,Senate,14435,3,0,MA,100,,,"MARKEY, Edward John",M000133,1946.0,,-0.517,-0.47,-13.62431,0.97813,616,2,,-0.777,-0.63,10015,25
119,Senate,41301,3,0,MA,100,,,"WARREN, Elizabeth",W000817,1949.0,,-0.744,-0.37,-10.81221,0.98246,611,4,,-0.721,-0.662,4213,6
119,Senate,20923,23,0,MI,100,,,"PETERS, Gary C.",P000595,1958.0,,-0.249,-0.185,-76.29395,0.88171,606,34,,-0.267,-0.204,3465,8
119,Senate,21965,23,0,MI,100,,,"SLOTKIN, Elissa",S001208,1976.0,,-0.366,0.778,-66.24914,0.8953,599,34,,-0.369,0.596,1437,3
119,Senate,40700,33,0,MN,100,,,"KLOBUCHAR, Amy",K000367,1960.0,,-0.279,-0.326,-64.35673,0.90034,613,38,,-0.263,-0.242,5435,9
119,Senate,41706,33,0,MN,100,,,"SMITH, Tina",S001203,1958.0,,-0.408,-0.114,-37.77321,0.93829,593,13,,-0.471,-0.319,2655,4
119,Senate,29534,46,0,MS,200,,,"WICKER, Roger F.",W000437,1951.0,,0.377,0.34,-5.6742,0.99051,595,1,,0.423,0.255,4432,16
119,Senate,41707,46,0,MS,200,,,"HYDE-SMITH, Cindy",H001079,1959.0,,0.452,0.328,-4.62138,0.99245,610,2,,0.458,0.336,1455,4
119,Senate,41901,34,0,MO,200,,,"HAWLEY, Joshua David",H001089,1979.0,,0.829,-0.368,-87.89478,0.86181,591,32,,0.507,-0.613,915,3
119,Senate,42303,34,0,MO,200,,,"SCHMITT, Eric Stephen",S001227,1975.0,,0.91,0.069,-7.99879,0.98704,613,2,,0.761,0.281,356,1
119,Senate,21338,64,0,MT,200,,,"DAINES, Steve",D000618,1962.0,,0.589,-0.024,-11.39863,0.98149,610,3,,0.712,0.702,2406,6
119,Senate,42503,64,0,MT,200,,,"SHEEHY, Timothy Patrick",S001232,1985.0,,0.668,0.744,-5.41615,0.99106,603,1,,0.663,0.749,215,0
119,Senate,41302,35,0,NE,200,,,"FISCHER, Debra (Deb)",F000463,1951.0,,0.46,0.334,-8.42106,0.98642,616,3,,0.412,0.381,1532,6
119,Senate,42302,35,0,NE,200,,,"RICKETTS, John Peter (Pete)",R000618,1964.0,,0.437,0.52,-4.27716,0.9931,618,1,,0.452,0.381,645,1
119,Senate,21743,65,0,NV,100,,,"ROSEN, Jacklyn Sheryl",R000608,1957.0,,-0.287,0.321,-64.39466,0.89982,610,29,,-0.294,0.384,2441,4
119,Senate,41700,65,0,NV,100,,,"CORTEZ MASTO, Catherine Marie",C001113,1964.0,,-0.346,0.35,-96.21983,0.85251,603,46,,-0.341,0.568,2145,4
