congress,chamber,rollnumber,icpsr,cast_code,prob
111,House,15,2605,1,100.0
111,House,15,10713,1,100.0
111,House,15,12036,1,100.0
111,House,15,13035,1,100.0
111,House,15,13047,1,57.0
111,House,15,14053,1,100.0
111,House,15,14066,1,62.7
111,House,15,14072,1,99.9
111,House,15,14256,1,100.0
111,House,15,14265,1,100.0
111,House,15,14280,1,100.0
111,House,15,14290,6,100.0
111,House,15,14413,1,100.0
111,House,15,14430,1,100.0
111,House,15,14435,1,100.0
111,House,15,14448,1,100.0
111,House,15,14451,1,99.4
111,House,15,14644,6,53.5
111,House,15,14647,6,95.6
111,House,15,14657,6,96.7
111,House,15,14675,1,56.3
111,House,15,14813,6,92.7
111,House,15,14824,1,100.0
111,House,15,14854,6,68.1
111,House,15,14863,1,96.1
111,House,15,14869,1,79.3
111,House,15,14873,1,100.0
111,House,15,15000,1,100.0
111,House,15,15005,1,100.0
111,House,15,15010,9,100.0
111,House,15,15014,6,99.5
111,House,15,15019,1,100.0
111,House,15,15029,1,100.0
111,House,15,15033,1,100.0
111,House,15,15049,1,99.8
111,House,15,15064,1,100.0
111,House,15,15072,1,100.0
111,House,15,15083,1,99.9
111,House,15,15085,6,98.6
111,House,15,15092,6,96.9
111,House,15,15100,1,100.0
111,House,15,15104,1,100.0
111,House,15,15124,1,100.0
111,House,15,15245,1,100.0
111,House,15,15410,1,100.0
111,House,15,15413,6,74.2
111,House,15,15420,6,99.5
111,House,15,15431,1,100.0
111,House,15,15438,1,100.0
111,House,15,15444,1,100.0
111,House,15,15445,6,89.0
111,House,15,15446,1,77.1
111,House,15,15448,1,100.0
111,House,15,15453,1,99.9
111,House,15,15454,1,100.0
111,House,15,15455,6,96.2
111,House,15,15603,1,100.0
111,House,15,15612,1,100.0
111,House,15,15613,1,100.0
111,House,15,15616,1,100.0
111,House,15,15619,1,100.0
111,House,15,15621,6,98.2
111,House,15,15627,6,98.6
111,House,15,15628,1,99.7
111,House,15,15634,1,89.4
111,House,15,15637,1,91.6
111,House,15,20100,6,100.0
111,House,15,20101,6,96.3
111,House,15,20102,1,98.8
111,House,15,20103,1,100.0
111,House,15,20104,1,100.0
111,House,15,20105,9,100.0
111,House,15,20106,1,100.0
111,House,15,20107,6,95.3
111,House,15,20108,1,100.0
111,House,15,20110,6,100.0
111,House,15,20111,6,80.1
111,House,15,20113,6,89.9
111,House,15,20115,1,96.1
111,House,15,20116,6,5.2
111,House,15,20117,6,100.0
111,House,15,20119,1,100.0
111,House,15,20120,6,85.2
111,House,15,20122,1,100.0
111,House,15,20123,6,99.9
111,House,15,20124,6,95.1
111,House,15,20125,1,24.2
111,House,15,20129,1,100.0
111,House,15,20130,1,26.0
111,House,15,20131,9,98.9
111,House,15,20134,6,89.1
111,House,15,20135,1,84.4
111,House,15,20136,1,100.0
111,House,15,20137,6,84.1
111,House,15,20138,6,99.3
111,House,15,20139,6,99.5
111,House,15,20140,1,99.5
111,House,15,20143,6,91.3
111,House,15,20144,6,99.2
111,House,15,20145,1,100.0
111,House,15,20146,1,52.2
111,House,15,20147,1,100.0
111,House,15,20300,6,93.4
111,House,15,20301,1,8.4
111,House,15,20302,1,100.0
111,House,15,20304,6,100.0
111,House,15,20305,1,100.0
111,House,15,20306,1,99.9
111,House,15,20307,6,96.4
111,House,15,20310,1,100.0
111,House,15,20313,6,72.8
111,House,15,20316,1,52.0
111,House,15,20317,6,2.1
111,House,15,20319,6,99.8
111,House,15,20321,1,100.0
111,House,15,20325,6,99.9
111,House,15,20326,1,99.9
111,House,15,20328,1,100.0
111,House,15,20329,1,100.0
111,House,15,20330,1,100.0
111,House,15,20331,1,40.2
111,House,15,20332,1,42.3
111,House,15,20333,6,98.0
111,House,15,20336,6,99.8
111,House,15,20338,1,100.0
111,House,15,20340,1,100.0
111,House,15,20341,1,100.0
111,House,15,20342,1,50.2
111,House,15,20343,1,100.0
111,House,15,20344,6,81.2
111,House,15,20345,1,89.2
111,House,15,20346,1,58.1
111,House,15,20347,6,100.0
111,House,15,20349,1,99.9
111,House,15,20350,1,99.1
111,House,15,20351,6,99.9
111,House,15,20352,6,100.0
111,House,15,20353,6,100.0
111,House,15,20355,6,98.3
111,House,15,20356,6,99.6
111,House,15,20357,6,99.2
111,House,15,20358,1,100.0
111,House,15,20501,1,99.9
111,House,15,20502,1,99.9
111,House,15,20503,6,99.3
111,House,15,20504,1,100.0
111,House,15,20505,6,99.9
111,House,15,20506,6,100.0
111,House,15,20507,1,99.7
111,House,15,20508,1,100.0
111,House,15,20509,1,100.0
111,House,15,20511,6,94.9
111,House,15,20513,1,99.1
111,House,15,20514,6,91.7
111,House,15,20516,1,100.0
111,House,15,20517,1,100.0
111,House,15,20518,6,38.8
111,House,15,20519,1,100.0
111,House,15,20521,6,99.9
111,House,15,20522,6,99.1
111,House,15,20523,1,94.3
111,House,15,20525,1,100.0
111,House,15,20526,1,83.0
111,House,15,20527,6,98.8
111,House,15,20528,6,99.6
111,House,15,20529,1,100.0
111,House,15,20530,6,90.4
111,House,15,20531,6,100.0
111,House,15,20532,6,99.9
111,House,15,20533,1,99.8
111,House,15,20535,6,92.1
111,House,15,20536,1,90.1
111,House,15,20537,1,100.0
111,House,15,20538,1,100.0
111,House,15,20539,6,99.9
111,House,15,20540,6,90.5
111,House,15,20542,1,100.0
111,House,15,20700,1,100.0
111,House,15,20701,1,100.0
