congress,chamber,rollnumber,icpsr,cast_code,prob
113,House,22,2605,1,100.0
113,House,22,10713,1,100.0
113,House,22,13035,1,100.0
113,House,22,13047,1,46.8
113,House,22,14066,1,55.9
113,House,22,14256,1,100.0
113,House,22,14263,1,100.0
113,House,22,14280,1,100.0
113,House,22,14435,1,100.0
113,House,22,14448,1,100.0
113,House,22,14657,6,97.7
113,House,22,14675,6,63.8
113,House,22,14854,1,41.8
113,House,22,14863,1,80.9
113,House,22,14869,1,58.7
113,House,22,14873,1,100.0
113,House,22,15019,6,0.1
113,House,22,15029,1,100.0
113,House,22,15033,1,100.0
113,House,22,15085,6,92.7
113,House,22,15092,6,91.5
113,House,22,15124,1,100.0
113,House,22,15410,1,100.0
113,House,22,15431,1,100.0
113,House,22,15438,1,100.0
113,House,22,15444,1,100.0
113,House,22,15445,6,78.1
113,House,22,15446,6,48.8
113,House,22,15448,1,100.0
113,House,22,15454,1,100.0
113,House,22,15455,6,96.5
113,House,22,15603,1,100.0
113,House,22,15612,1,100.0
113,House,22,15613,1,100.0
113,House,22,15616,1,100.0
113,House,22,15621,6,97.6
113,House,22,15634,1,68.6
113,House,22,20103,1,100.0
113,House,22,20104,1,100.0
113,House,22,20107,6,86.5
113,House,22,20108,1,100.0
113,House,22,20110,6,98.5
113,House,22,20111,9,60.0
113,House,22,20119,1,100.0
113,House,22,20120,6,73.3
113,House,22,20122,1,100.0
113,House,22,20124,6,82.7
113,House,22,20129,1,100.0
113,House,22,20130,6,69.2
113,House,22,20134,6,69.2
113,House,22,20136,1,100.0
113,House,22,20138,6,93.0
113,House,22,20139,1,9.5
113,House,22,20140,1,98.8
113,House,22,20143,6,75.5
113,House,22,20144,1,8.1
113,House,22,20145,1,100.0
113,House,22,20146,1,54.1
113,House,22,20147,1,100.0
113,House,22,20300,1,31.2
113,House,22,20301,6,70.4
113,House,22,20304,6,99.9
113,House,22,20305,1,100.0
113,House,22,20307,9,83.2
113,House,22,20310,1,100.0
113,House,22,20316,1,54.6
113,House,22,20319,6,95.4
113,House,22,20321,1,100.0
113,House,22,20325,6,97.9
113,House,22,20328,1,100.0
113,House,22,20329,1,100.0
113,House,22,20330,1,100.0
113,House,22,20331,6,59.1
113,House,22,20333,6,88.8
113,House,22,20336,1,0.6
113,House,22,20337,6,86.0
113,House,22,20338,1,100.0
113,House,22,20340,1,100.0
113,House,22,20342,1,57.3
113,House,22,20343,1,100.0
113,House,22,20344,1,41.6
113,House,22,20345,1,72.4
113,House,22,20346,6,40.2
113,House,22,20351,6,98.5
113,House,22,20352,6,99.6
113,House,22,20353,6,98.3
113,House,22,20355,6,95.1
113,House,22,20356,6,88.6
113,House,22,20357,6,93.6
113,House,22,20501,1,99.8
113,House,22,20504,1,100.0
113,House,22,20505,6,98.7
113,House,22,20506,6,99.3
113,House,22,20507,1,99.1
113,House,22,20508,1,100.0
113,House,22,20514,1,27.1
113,House,22,20517,9,100.0
113,House,22,20518,6,48.4
113,House,22,20519,1,100.0
113,House,22,20521,6,98.3
113,House,22,20522,6,92.5
113,House,22,20524,1,77.3
113,House,22,20525,9,100.0
113,House,22,20526,1,66.9
113,House,22,20527,6,98.3
113,House,22,20528,6,97.0
113,House,22,20529,1,100.0
113,House,22,20530,6,75.8
113,House,22,20531,6,97.1
113,House,22,20532,6,97.4
113,House,22,20533,1,99.7
113,House,22,20535,6,80.3
113,House,22,20536,1,72.2
113,House,22,20537,1,100.0
113,House,22,20538,1,100.0
113,House,22,20539,6,99.8
113,House,22,20542,1,100.0
113,House,22,20702,1,100.0
113,House,22,20703,1,16.2
113,House,22,20704,6,99.2
113,House,22,20705,1,100.0
113,House,22,20706,1,100.0
113,House,22,20708,1,100.0
113,House,22,20709,6,62.7
113,House,22,20712,1,100.0
113,House,22,20715,6,78.6
113,House,22,20719,1,100.0
113,House,22,20720,1,100.0
113,House,22,20723,1,100.0
113,House,22,20724,1,100.0
113,House,22,20725,6,89.9
113,House,22,20726,1,100.0
113,House,22,20727,1,100.0
113,House,22,20728,6,96.5
113,House,22,20729,6,91.2
113,House,22,20731,1,100.0
113,House,22,20733,1,100.0
113,House,22,20738,6,99.6
113,House,22,20748,1,100.0
113,House,22,20749,1,100.0
113,House,22,20750,1,100.0
113,House,22,20753,6,100.0
113,House,22,20754,1,100.0
113,House,22,20755,6,91.1
113,House,22,20756,6,82.0
113,House,22,20757,1,100.0
113,House,22,20758,6,77.0
113,House,22,20759,6,95.3
113,House,22,20762,9,100.0
113,House,22,20763,1,100.0
113,House,22,20902,9,99.9
113,House,22,20903,6,99.0
113,House,22,20904,1,100.0
113,House,22,20906,6,87.5
113,House,22,20907,1,100.0
113,House,22,20908,1,100.0
113,House,22,20909,6,91.6
113,House,22,20910,6,83.6
113,House,22,20914,6,53.1
113,House,22,20915,6,92.1
113,House,22,20916,6,79.5
113,House,22,20918,6,96.9
113,House,22,20919,6,84.1
113,House,22,20920,1,100.0
113,House,22,20923,1,100.0
113,House,22,20924,6,71.2
113,House,22,20925,1,27.8
113,House,22,20926,6,83.3
113,House,22,20927,1,100.0
113,House,22,20929,1,47.3
113,House,22,20932,1,100.0
113,House,22,20934,1,100.0
113,House,22,20935,1,100.0
113,House,22,20941,1,100.0
113,House,22,20944,1,99.9
113,House,22,20946,6,60.5
113,House,22,20947,6,87.8
113,House,22,20948,6,94.5
113,House,22,20949,6,98.6
113,House,22,20952,1,100.0
113,House,22,20953,6,99.3
113,House,22,20954,1,100.0
113,House,22,20955,1,100.0
113,House,22,20957,1,99.7
113,House,22,20958,1,100.0
113,House,22,20959,1,100.0
113,House,22,20962,6,99.7
113,House,22,20963,6,93.7
113,House,22,21100,6,99.7
113,House,22,21101,1,58.1
113,House,22,21102,1,100.0
113,House,22,21103,6,99.3
113,House,22,21105,6,94.1
113,House,22,21106,1,14.8
113,House,22,21107,6,76.9
113,House,22,21108,6,65.5
113,House,22,21109,1,47.8
113,House,22,21110,1,100.0
113,House,22,21111,6,82.3
113,House,22,21112,6,81.0
113,House,22,21113,1,100.0
113,House,22,21114,6,95.2
113,House,22,21115,6,87.6
113,House,22,21116,6,91.9
113,House,22,21117,6,93.0
113,House,22,21118,1,100.0
113,House,22,21122,6,96.8
113,House,22,21123,6,93.9
113,House,22,21124,1,100.0
113,House,22,21125,6,99.6
113,House,22,21128,6,37.2
113,House,22,21129,6,88.1
113,House,22,21131,6,97.2
113,House,22,21132,6,70.9
113,House,22,21133,1,20.0
113,House,22,21134,6,99.7
113,House,22,21135,6,95.0
113,House,22,21136,6,99.1
113,House,22,21137,1,100.0
113,House,22,21139,6,99.0
113,House,22,21140,1,100.0
113,House,22,21141,6,87.7
113,House,22,21142,6,92.9
113,House,22,21143,6,97.6
113,House,22,21147,6,88.7
113,House,22,21148,1,6.5
113,House,22,21149,6,87.4
113,House,22,21150,6,94.2
113,House,22,21151,6,54.4
113,House,22,21153,1,69.6
113,House,22,21154,1,69.6
113,House,22,21156,1,79.7
113,House,22,21157,1,74.1
113,House,22,21159,6,75.9
113,House,22,21162,6,81.0
113,House,22,21163,6,51.4
113,House,22,21164,6,70.8
113,House,22,21165,6,88.3
113,House,22,21166,6,97.0
113,House,22,21167,6,70.5
113,House,22,21168,1,70.2
113,House,22,21170,1,34.6
113,House,22,21171,1,52.5
113,House,22,21172,1,100.0
113,House,22,21174,6,99.5
113,House,22,21175,6,99.0
113,House,22,21176,6,99.7
113,House,22,21177,6,74.3
113,House,22,21178,6,80.6
113,House,22,21179,6,96.2
113,House,22,21180,6,96.5
113,House,22,21181,6,92.7
113,House,22,21182,6,96.1
113,House,22,21184,6,94.3
113,House,22,21185,6,72.9
113,House,22,21186,6,95.7
113,House,22,21187,1,44.2
113,House,22,21188,1,49.7
113,House,22,21189,6,90.4
113,House,22,21190,6,96.9
113,House,22,21191,6,89.1
113,House,22,21192,6,68.5
113,House,22,21193,6,98.5
113,House,22,21195,1,100.0
113,House,22,21196,6,70.7
113,House,22,21198,1,100.0
113,House,22,21199,1,99.8
113,House,22,21300,1,99.6
113,House,22,21301,6,96.5
113,House,22,21302,6,93.8
113,House,22,21303,1,100.0
