congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc,dem_cosponsors,rep_cosponsors
112,Senate,19,2011-02-15,1,19,86,12,-0.33,-0.863,-0.747,-3.577,-29.726,HR514,Bill Passed,"A bill to extend expiring provisions of the USA PATRIOT Improvement and Reauthorization Act of 2005 and Intelligence Reform and Terrorism Prevention Act of 2004 relating to access to business records, individual terrorists as agents of foreign powers, and roving wiretaps until December 8, 2011.",On Passage of the Bill,,0,2
112,Senate,25,2011-02-17,1,25,87,8,0.574,0.447,1.126,0.968,-11.732,S223,Bill Passed,"A bill to modernize the air traffic control system, improve the safety, reliability, and availability of transportation by air in the United States, provide modernization of the air traffic control system, reauthorize the Federal Aviation Administration, and for other purposes.",On Passage of the Bill,,0,0
112,Senate,29,2011-03-02,1,29,91,9,0.827,0.223,0.167,-0.029,-25.031,HJRES44,Joint Resolution Passed,"A joint resolution making further continuing appropriations for fiscal year 2011, and for other purposes.",On the Joint Resolution,,0,0
112,Senate,35,2011-03-08,1,35,95,5,0.591,0.806,0.134,0.298,-18.809,S23,Bill Passed,"A bill to amend title 35, United States Code, to provide for patent reform.",On Passage of the Bill,,9,4
112,Senate,36,2011-03-09,1,36,44,56,-0.281,-0.96,-0.294,0.594,-16.573,HR1,Bill Defeated,"A bill making appropriations for the Department of Defense and the other departments and agencies of the Government for the fiscal year ending September 30, 2011, and for other purposes.",On Passage of the Bill,,0,0
112,Senate,44,2011-03-17,1,44,87,13,0.722,-0.275,0.145,-0.017,-30.094,HJRES48,Joint Resolution Passed,"A joint resolution making further continuing appropriations for fiscal year 2011, and for other purposes.",On the Joint Resolution,,0,0
112,Senate,49,2011-04-05,1,49,87,12,-0.426,0.571,-1.235,0.045,-23.865,HR4,Bill Passed,"A bill to repeal the expansion of information reporting requirements for payments of $600 or more to corporations, and for other purposes.",On Passage of the Bill,,37,236
112,Senate,61,2011-04-14,1,61,81,19,0.657,0.748,0.183,-0.115,-33.016,HR1473,Bill Passed,"A bill making appropriations for the Department of Defense and the other departments and agencies of the Government for the fiscal year ending September 30, 2011, and for other purposes.",On Passage of the Bill,,0,0
112,Senate,101,2011-06-29,1,101,79,20,0.492,0.1,1.529,-0.091,-25.874,S679,Bill Passed,A bill to reduce the number of executive positions subject to Senate confirmation.,On Passage of the Bill,,9,7
112,Senate,115,2011-07-20,1,115,97,2,0.0,0.0,0.0,0.0,0.0,HR2055,Bill Passed,"A bill making appropriations for military construction, the Department of Veterans Affairs, and related agencies for the fiscal year ending September 30, 2012, and for other purposes.",On Passage of the Bill,,0,0
112,Senate,129,2011-09-08,1,129,89,9,0.881,0.473,0.278,-0.518,-18.73,HR1249,Bill Passed,"A bill to amend title 35, United States Code, to provide for patent reform.",On Passage of the Bill,,0,5
112,Senate,138,2011-09-15,1,138,92,6,0.605,-0.27,0.693,-0.714,-2.234,HR2887,Bill Passed,"A bill to provide an extension of surface and air transportation programs, and for other purposes.",On Passage of the Bill,,3,3
