congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2,pieces_cosponsored,num_congresses
110,Senate,29918,45,0.0,LA,200,0,1,"VITTER, David",V000127,1961,,0.495,0.323,-118.05491,0.801,532,57,,0.565,0.485,2461,4
110,Senate,49702,45,0.0,LA,100,0,1,"LANDRIEU, Mary L.",L000550,1955,,-0.203,0.444,-142.15312,0.767,537,61,,-0.152,0.549,3484,5
110,Senate,14661,2,0.0,ME,200,0,1,"SNOWE, Olympia Jean",S000663,1947,,0.091,-0.548,-176.02011,0.726,550,72,,0.053,-0.438,5264,14
110,Senate,49703,2,0.0,ME,200,0,1,"COLLINS, Susan Margaret",C001035,1952,,0.124,-0.505,-186.36384,0.71259,550,81,,0.097,-0.646,6525,5
110,Senate,14440,52,0.0,MD,100,0,1,"MIKULSKI, Barbara Ann",M000702,1936,,-0.37,-0.128,-82.3516,0.859,542,37,,-0.258,-0.102,8002,15
110,Senate,15408,52,0.0,MD,100,0,1,"CARDIN, Benjamin Louis",C000141,1943,,-0.32,-0.224,-47.44357,0.91692,547,15,,-0.343,-0.323,6262,10
110,Senate,10808,3,0.0,MA,100,0,1,"KENNEDY, Edward Moore (Ted)",K000105,1932,2009.0,-0.443,-0.49,-63.94736,0.866,443,21,,-0.35,-0.608,6975,23
110,Senate,14920,3,0.0,MA,100,0,1,"KERRY, John Forbes",K000148,1943,,-0.352,-0.382,-51.75039,0.907,530,18,,-0.365,-0.538,6369,11
110,Senate,14709,23,0.0,MI,100,0,1,"LEVIN, Carl",L000261,1934,2021.0,-0.395,-0.116,-65.56103,0.887,546,26,,-0.336,-0.038,6423,14
110,Senate,29732,23,0.0,MI,100,0,1,"STABENOW, Deborah Ann",S000770,1950,,-0.343,-0.019,-70.294,0.87899,545,29,,-0.388,0.24,5436,5
110,Senate,40302,33,0.0,MN,200,0,1,"COLEMAN, Norm",C001057,1949,,0.185,-0.125,-152.00508,0.751,531,74,,0.174,-0.014,1222,2
110,Senate,40700,33,0.0,MN,100,0,1,"KLOBUCHAR, Amy",K000367,1960,,-0.279,-0.326,-78.54051,0.86533,543,35,,-0.3,-0.135,5435,0
110,Senate,14009,46,0.0,MS,200,0,1,"COCHRAN, William Thad",C000567,1937,2019.0,0.287,0.051,-162.31562,0.74162,543,80,,0.335,0.095,6445,17
110,Senate,14031,46,0.0,MS,200,1,1,"LOTT, Chester Trent",L000447,1941,,0.39,0.194,-91.92665,0.762,338,45,,0.437,0.091,4114,17
110,Senate,29534,46,0.0,MS,200,2,2,"WICKER, Roger F.",W000437,1951,,0.377,0.34,-33.07911,0.82954,177,12,,0.397,0.561,4432,6
110,Senate,15501,34,0.0,MO,200,0,1,"BOND, Christopher Samuel (Kit)",B000611,1939,2025.0,0.31,-0.169,-172.26186,0.721,526,79,,0.344,-0.087,2667,10
110,Senate,40701,34,0.0,MO,100,0,1,"McCASKILL, Claire",M001170,1953,,-0.143,0.023,-215.69865,0.6697,538,92,,-0.21,0.364,1508,0
110,Senate,14203,64,0.0,MT,100,0,1,"BAUCUS, Max Sieben",B000243,1941,,-0.212,0.017,-113.29573,0.814,549,57,,-0.237,0.52,4951,16
110,Senate,40702,64,0.0,MT,100,0,1,"TESTER, Jon",T000464,1956,,-0.213,0.153,-121.08903,0.80011,543,61,,-0.278,0.563,3099,0
110,Senate,40103,35,0.0,NE,100,0,1,"NELSON, Earl Benjamin (Ben)",N000180,1941,,-0.03,0.588,-114.48679,0.81,543,42,,-0.084,0.673,1126,3
110,Senate,49704,35,0.0,NE,200,0,1,"HAGEL, Charles Timothy (Chuck)",H001028,1946,,0.344,-0.498,-253.94082,0.607,509,113,,0.308,-0.707,1770,5
110,Senate,15054,65,0.0,NV,100,0,1,"REID, Harry",R000146,1939,2021.0,-0.276,0.258,-150.55397,0.76,548,59,,-0.317,0.206,4949,12
110,Senate,29537,65,0.0,NV,200,0,1,"ENSIGN, John Eric",E000194,1958,,0.508,-0.464,-98.25512,0.83,528,43,,0.554,-0.352,1549,5
110,Senate,14826,4,0.0,NH,200,0,1,"GREGG, Judd Alan",G000445,1947,,0.429,-0.737,-144.56655,0.763,535,74,,0.452,-0.837,2125,11
110,Senate,29740,4,0.0,NH,200,0,1,"SUNUNU, John E.",S001078,1964,,0.473,-0.52,-197.3818,0.695,542,87,,0.376,-0.592,1026,5
110,Senate,14914,12,0.0,NJ,100,0,1,"LAUTENBERG, Frank Raleigh",L000123,1924,2013.0,-0.382,-0.579,-40.59802,0.928,541,13,,-0.421,-0.508,5512,11
110,Senate,29373,12,0.0,NJ,100,0,1,"MENENDEZ, Robert",M000639,1954,,-0.366,-0.126,-55.50399,0.90283,543,24,,-0.423,-0.576,5703,8
110,Senate,14103,66,0.0,NM,200,0,1,"DOMENICI, Pete Vichi",D000407,1932,2017.0,0.257,-0.247,-156.72318,0.74,520,71,,0.264,-0.306,4349,17
110,Senate,14912,66,0.0,NM,100,0,1,"BINGAMAN, Jesse Francis, Jr. (Jeff)",B000468,1943,,-0.266,0.045,-70.65731,0.878,544,33,,-0.366,0.066,5158,12
110,Senate,14858,13,0.0,NY,100,0,1,"SCHUMER, Charles Ellis (Chuck)",S000148,1950,,-0.355,-0.414,-44.62211,0.92083,541,15,,-0.369,-0.474,8009,13
110,Senate,40105,13,0.0,NY,100,0,1,"CLINTON, Hillary Rodham",C001041,1947,,-0.367,-0.243,-32.82782,0.917,378,12,,-0.393,-0.387,2678,3
110,Senate,29548,47,0.0,NC,200,0,1,"BURR, Richard M.",B001135,1955,,0.435,-0.07,-123.5847,0.79374,535,57,,0.517,-0.191,3063,6
110,Senate,40303,47,0.0,NC,200,0,1,"DOLE, Elizabeth Hanford",D000601,1936,,0.363,0.124,-158.24045,0.739,524,72,,0.352,0.112,796,2
110,Senate,14812,36,0.0,ND,100,0,1,"DORGAN, Byron Leslie",D000432,1942,,-0.267,0.09,-114.09598,0.81,541,54,,-0.308,0.633,4118,14
110,Senate,15502,36,0.0,ND,100,0,1,"CONRAD, Kent",C000705,1948,,-0.296,0.582,-89.37574,0.848,542,33,,-0.28,0.51,3325,10
110,Senate,29389,24,0.0,OH,100,0,1,"BROWN, Sherrod",B000944,1952,,-0.425,-0.097,-46.576,0.91751,541,16,,-0.46,-0.101,8098,7
110,Senate,49903,24,0.0,OH,200,0,1,"VOINOVICH, George Victor",V000126,1936,2016.0,0.239,-0.803,-294.43741,0.581,543,147,,0.24,-0.846,1367,4
110,Senate,15424,53,0.0,OK,200,0,1,"INHOFE, James Mountain",I000024,1934,2024.0,0.552,0.045,-100.69071,0.82518,524,43,,0.7,0.425,5465,11
110,Senate,29555,53,0.0,OK,200,0,1,"COBURN, Thomas Allen",C000560,1948,2020.0,0.782,0.055,-81.13222,0.852,508,38,,0.808,-0.055,1917,4
110,Senate,14871,72,0.0,OR,100,0,1,"WYDEN, Ronald Lee",W000779,1949,,-0.333,-0.487,-71.52468,0.87573,539,26,,-0.323,-0.327,8386,14
110,Senate,49705,72,0.0,OR,200,0,1,"SMITH, Gordon Harold",S001142,1952,,0.192,-0.21,-207.12565,0.685,547,102,,0.134,-0.139,1817,5
110,Senate,14910,14,0.0,PA,200,0,1,"SPECTER, Arlen",S000709,1930,2012.0,0.068,-0.627,-199.23388,0.693,543,100,,0.122,-0.551,3947,13
110,Senate,40703,14,0.0,PA,100,0,1,"CASEY, Robert (Bob), Jr.",C001070,1960,,-0.313,0.166,-83.51871,0.85912,550,33,,-0.292,0.12,4166,0
110,Senate,29142,5,0.0,RI,100,0,1,"REED, John F. (Jack)",R000122,1949,,-0.361,-0.16,-67.77658,0.88346,547,29,,-0.367,-0.32,4882,8
110,Senate,40704,5,0.0,RI,100,0,1,"WHITEHOUSE, Sheldon",W000802,1955,,-0.353,-0.109,-69.47421,0.88093,548,28,,-0.382,-0.438,4743,0
110,Senate,29566,48,0.0,SC,200,0,1,"GRAHAM, Lindsey O.",G000359,1955,,0.367,-0.272,-159.46773,0.73282,513,80,,0.47,-0.262,3582,6
