state_abbrev,chamber,nominate_dim1,nominate_dim2,pieces_cosponsored,num_congresses,bioname,nominate_mid_1,nominate_mid_2,dem_cosponsors,rep_cosponsors,bill_number,vote_desc,vote_result,vote,rollnumber,icpsr,party_code_1,party_code_2
SC,1,0.629,0.022,0.024626666666666668,0.175,"SCOTT, Tim",-0.232,-0.064,0.003738317757009346,0.09532710280373832,S5,"A bill to require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",Bill Passed,1,7,21173,0,1
AR,1,0.579,0.195,0.025173333333333332,0.15,"COTTON, Tom",-0.232,-0.064,0.003738317757009346,0.09532710280373832,S5,"A bill to require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",Bill Passed,1,7,21301,0,1
IL,1,-0.344,0.061,0.041093333333333336,0.15,"DUCKWORTH, Tammy",-0.232,-0.064,0.003738317757009346,0.09532710280373832,S5,"A bill to require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",Bill Passed,0,7,21325,0,0
MT,1,0.589,-0.024,0.03208,0.15,"DAINES, Steve",-0.232,-0.064,0.003738317757009346,0.09532710280373832,S5,"A bill to require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",Bill Passed,1,7,21338,0,1
ND,1,0.398,0.368,0.04284,0.15,"CRAMER, Kevin",-0.232,-0.064,0.003738317757009346,0.09532710280373832,S5,"A bill to require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",Bill Passed,1,7,21350,0,1
OK,1,0.532,0.25,0.020893333333333333,0.15,"MULLIN, Markwayne",-0.232,-0.064,0.003738317757009346,0.09532710280373832,S5,"A bill to require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",Bill Passed,1,7,21355,0,1
AZ,1,-0.363,0.148,0.03505333333333333,0.125,"GALLEGO, Ruben",-0.232,-0.064,0.003738317757009346,0.09532710280373832,S5,"A bill to require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",Bill Passed,1,7,21502,0,0
IN,1,0.648,0.014,0.016986666666666667,0.1,"BANKS, James E.",-0.232,-0.064,0.003738317757009346,0.09532710280373832,S5,"A bill to require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",Bill Passed,1,7,21702,0,1
DE,1,-0.383,-0.128,0.030426666666666668,0.1,"BLUNT ROCHESTER, Lisa",-0.232,-0.064,0.003738317757009346,0.09532710280373832,S5,"A bill to require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",Bill Passed,0,7,21706,0,0
NC,1,0.633,-0.076,0.025066666666666668,0.1,"BUDD, Theodore Paul",-0.232,-0.064,0.003738317757009346,0.09532710280373832,S5,"A bill to require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",Bill Passed,1,7,21708,0,1
