congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
111,House,15,2009-01-14,1,16,289,139,0.337,-0.088,0.415,0.494,-50.44,HR2,Passed,Children’s Health Insurance Program Reauthorization Act of 2009,On Passage,
111,House,36,2009-01-27,1,37,250,177,0.023,0.452,0.381,0.281,-23.57,S181,Passed,Lilly Ledbetter Fair Pay Act of 2009,On Passage,
111,House,45,2009-01-28,1,46,244,188,-0.035,-0.019,0.406,0.04,-24.779,HR1,Passed,Making supplemental appropriations for fiscal year ending 2009,On Passage,
111,House,90,2009-03-03,1,91,394,13,0.733,0.067,0.358,-0.186,-27.863,HR146,Passed,Revolutionary War and War of 1812 Battlefield Protection Act,"On Motion to Suspend the Rules and Pass, as Amended",
111,House,116,2009-03-11,1,117,282,144,0.267,0.081,0.627,1.34,-50.447,S22,Failed,Omnibus Public Land Management Act,"On Motion to Suspend the Rules and Pass, as Amended",
111,House,139,2009-03-18,1,140,321,105,0.479,-0.171,0.66,1.114,-58.087,HR1388,Passed,Generations Invigorating Volunteerism and Education (GIVE) Act,On Passage,
111,House,142,2009-03-19,1,143,328,93,0.37,0.309,0.175,0.261,-113.455,HR1586,Passed,To impose an additional tax on bonuses received from certain TARP recipients.,On Motion to Suspend the Rules and Pass,
111,House,186,2009-04-02,1,187,298,112,0.418,-0.065,0.204,0.354,-110.422,HR1256,Passed,Family Smoking Prevention and Tobacco Control Act,On Passage,
111,House,227,2009-04-30,1,228,357,70,0.511,0.043,0.301,0.341,-76.623,HR627,Passed,Credit Cardholders’ Bill of Rights Act of 2009,On Passage,
111,House,234,2009-05-06,1,235,367,59,0.425,0.568,1.042,1.412,-72.349,S386,Passed,Fraud Enforcement and Recovery Act,"On Motion to Suspend the Rules and Pass, as Amended",
111,House,264,2009-05-14,1,265,368,60,-0.595,-0.062,-0.184,-0.691,-111.949,HR2346,Passed,"Supplemental Appropriations, FY 2009",On Passage,
111,House,270,2009-05-19,1,271,367,54,0.635,-0.323,0.298,0.309,-72.548,S896,Passed,Helping Families Save Their Homes Act,"On Motion to Suspend the Rules and Pass, as Amended",
111,House,407,2009-06-18,1,408,259,157,0.246,-0.163,0.235,0.299,-66.696,HR2847,Passed,"Making Appropriations for the Departments of Commerce and Justice, and Science, and Related Agencies for the fiscal year ending September 30, 2010, and for other purposes",On Passage,
111,House,412,2009-06-19,1,413,232,178,0.058,-0.998,0.199,0.008,-106.014,HR2918,Passed,Making appropriations for the Legislative Branch FY 2010,On Passage,
111,House,448,2009-06-24,1,450,389,37,0.528,-0.377,0.263,-0.36,-60.757,HR2892,Passed,Making appropriations for Homeland Security FY 2010,On Passage,
111,House,473,2009-06-26,1,475,254,173,0.083,0.202,0.22,0.235,-68.57,HR2996,Passed,"Department of Interior and Related Agencies Appropriation, 2010",On Passage,
111,House,508,2009-07-09,1,510,266,160,0.178,-0.046,0.183,-0.05,-92.129,HR2997,Passed,"Making appropriations for Agriculture, Rural Development, Food and Drug Administration, and Related Agencies programs for the fiscal year ending September 30, 2010, and for other purposes",On Passage,
111,House,523,2009-07-09,1,525,318,106,0.191,0.801,0.132,0.208,-146.114,HR3081,Passed,"Making appropriations for the Department of State, foreign operations, and related programs for the fiscal year ending September 30, 2010, and for other purposes",On Passage,
111,House,527,2009-07-10,1,529,415,3,0.0,0.0,0.0,0.0,0.0,HR3082,Passed,"Making appropriations for military construction, the Department of Veterans Affairs, and related agencies for the fiscal year ending September 30, 2010, and for other purposes",On Passage,
111,House,590,2009-07-17,1,592,320,97,0.427,0.059,0.172,0.039,-117.57,HR3183,Passed,"Making appropriations for energy and water development and related agencies, FY 2010",On Passage,
111,House,635,2009-07-23,1,637,256,168,0.119,0.114,0.221,0.147,-63.575,HR3288,Passed,"Making appropriations for the Departments of Transportation, HUD, and related agencies for FY 2010",On Passage,
111,House,657,2009-07-29,1,659,363,68,0.501,0.361,0.328,0.049,-75.898,HR3357,Passed,To restore sums to the Highway Trust Fund and for other purposes,"On Motion to Suspend the Rules and Pass, as Amended",
111,House,673,2009-07-30,1,675,400,30,-0.785,0.157,-0.29,-0.706,-71.555,HR3326,Passed,"Making appropriations for the Department of Defense for the fiscal year ending September 30, 2010, and for other purposes",On Passage,
111,House,680,2009-07-31,1,682,316,109,0.359,0.343,0.136,0.101,-150.781,HR3435,Passed,Making supplemental appropriations for fiscal year 2009 for the Consumer Assistance to Recycle and Save Program,On Motion to Suspend the Rules and Pass,
111,House,720,2009-09-22,1,722,331,83,0.564,-0.049,0.16,0.375,-145.016,HR3548,Passed,Unemployment Compensation Extension Act of 2009,"On Motion to Suspend the Rules and Pass, as Amended",
111,House,766,2009-10-08,1,768,416,0,0.0,0.0,0.0,0.0,0.0,HR3590,Passed,Service Members Home Ownership Tax Act,On Motion to Suspend the Rules and Pass,
111,House,941,2009-12-09,1,943,241,181,0.004,0.054,0.258,-0.312,-42.191,HR4213,Passed,Tax Extenders Act of 2009,On Passage,
111,House,966,2009-12-11,1,968,223,202,0.177,-0.984,0.335,0.379,-63.843,HR4173,Passed,The Wall Street Reform and Consumer Protection Act of 2009,On Passage,
111,House,985,2009-12-16,1,988,218,214,-0.264,-0.625,0.385,-0.29,-68.57,HR4314,Passed,To permit continued financing of Government operations,On Passage,
111,House,1152,2010-03-21,2,167,220,211,-0.066,-0.04,0.55,0.738,-36.13,HR4872,Passed,Reconciliation Act of 2010,On Passage,
111,House,1171,2010-03-24,2,186,239,175,0.099,0.439,0.227,-0.127,-52.085,HR4899,Passed,"Making emergency supplemental appropriations for disaster relief and summer jobs for fiscal year ending September 30, 2010, and for other purposes",On Passage,
111,House,1199,2010-04-21,2,214,419,0,0.0,0.0,0.0,0.0,0.0,S1963,Passed,"To amend title 38, United States Code, to provide assistance to caregivers of veterans, to improve the provision of health care to veterans, and for other purposes","On Motion to Suspend the Rules and Pass, as Amended",
111,House,1360,2010-06-17,2,375,241,182,0.008,-0.092,0.231,0.01,-54.29,HR5297,Passed,Small Business Lending Fund Act of 2010,On Passage,
