congress,chamber,rollnumber,icpsr,cast_code,prob
113,Senate,4,14009,1,63.5
113,Senate,4,14203,1,100.0
113,Senate,4,14226,6,69.8
113,Senate,4,14230,1,100.0
113,Senate,4,14307,1,100.0
113,Senate,4,14440,1,100.0
113,Senate,4,14503,6,74.6
113,Senate,4,14651,1,100.0
113,Senate,4,14709,1,100.0
113,Senate,4,14806,6,83.3
113,Senate,4,14852,6,86.4
113,Senate,4,14858,1,100.0
113,Senate,4,14871,1,100.0
113,Senate,4,14914,1,100.0
113,Senate,4,14920,1,100.0
113,Senate,4,14921,6,79.3
113,Senate,4,14922,1,100.0
113,Senate,4,15011,1,100.0
113,Senate,4,15015,1,100.0
113,Senate,4,15021,1,100.0
113,Senate,4,15039,6,95.8
113,Senate,4,15054,1,100.0
113,Senate,4,15408,1,100.0
113,Senate,4,15424,6,97.9
113,Senate,4,15425,1,100.0
113,Senate,4,20100,6,100.0
113,Senate,4,20101,6,70.3
113,Senate,4,20115,6,72.9
113,Senate,4,20707,1,100.0
113,Senate,4,20713,1,100.0
113,Senate,4,20717,1,100.0
113,Senate,4,20730,1,1.3
113,Senate,4,20735,1,100.0
113,Senate,4,20930,1,100.0
113,Senate,4,21173,6,99.6
113,Senate,4,29142,1,100.0
113,Senate,4,29147,1,100.0
113,Senate,4,29345,6,89.0
113,Senate,4,29373,1,100.0
113,Senate,4,29386,6,81.4
113,Senate,4,29389,1,100.0
113,Senate,4,29512,6,75.8
113,Senate,4,29534,1,45.8
113,Senate,4,29548,6,89.8
113,Senate,4,29555,6,100.0
113,Senate,4,29566,6,83.2
113,Senate,4,29722,6,72.5
113,Senate,4,29732,1,100.0
113,Senate,4,29735,6,69.8
113,Senate,4,29754,6,77.1
113,Senate,4,29906,1,100.0
113,Senate,4,29909,6,80.6
113,Senate,4,29918,1,13.6
113,Senate,4,29924,1,100.0
113,Senate,4,29935,6,100.0
113,Senate,4,29940,1,100.0
113,Senate,4,39310,1,100.0
113,Senate,4,40300,1,76.5
113,Senate,4,40301,1,100.0
113,Senate,4,40304,1,35.8
113,Senate,4,40305,6,94.1
113,Senate,4,40700,1,100.0
113,Senate,4,40701,1,100.0
113,Senate,4,40702,1,100.0
113,Senate,4,40703,1,100.0
113,Senate,4,40704,1,100.0
113,Senate,4,40705,6,91.5
113,Senate,4,40707,6,95.2
113,Senate,4,40900,1,100.0
113,Senate,4,40902,6,91.9
113,Senate,4,40904,1,100.0
113,Senate,4,40905,6,61.5
113,Senate,4,40906,1,100.0
113,Senate,4,40907,1,100.0
113,Senate,4,40908,1,100.0
113,Senate,4,40909,1,100.0
113,Senate,4,40910,1,100.0
113,Senate,4,40915,1,100.0
113,Senate,4,40916,1,100.0
113,Senate,4,41101,1,100.0
113,Senate,4,41102,6,99.8
113,Senate,4,41104,6,100.0
113,Senate,4,41106,6,91.7
113,Senate,4,41107,1,43.8
113,Senate,4,41110,6,100.0
113,Senate,4,41111,6,99.9
113,Senate,4,41112,1,100.0
113,Senate,4,41300,9,100.0
113,Senate,4,41301,1,100.0
113,Senate,4,41302,6,79.0
113,Senate,4,41303,1,100.0
113,Senate,4,41304,6,100.0
113,Senate,4,41305,1,100.0
113,Senate,4,49300,1,100.0
113,Senate,4,49308,9,100.0
113,Senate,4,49700,6,96.8
113,Senate,4,49702,1,100.0
113,Senate,4,49703,1,90.1
113,Senate,4,49706,6,95.5
113,Senate,4,94659,1,35.9
113,Senate,4,99911,1,100.0
113,Senate,11,14009,1,55.3
113,Senate,11,14203,1,99.2
113,Senate,11,14226,6,62.4
113,Senate,11,14230,1,99.9
113,Senate,11,14307,1,99.7
113,Senate,11,14440,1,99.7
113,Senate,11,14503,6,67.3
113,Senate,11,14651,1,98.1
113,Senate,11,14709,1,99.7
113,Senate,11,14806,6,64.1
113,Senate,11,14852,6,73.6
113,Senate,11,14858,1,99.8
113,Senate,11,14871,1,99.8
113,Senate,11,14914,1,99.9
113,Senate,11,14920,9,99.8
113,Senate,11,14921,6,71.8
113,Senate,11,14922,1,99.2
113,Senate,11,15011,1,99.8
113,Senate,11,15015,1,99.5
113,Senate,11,15021,1,99.8
113,Senate,11,15039,1,38.3
113,Senate,11,15054,1,98.9
113,Senate,11,15408,1,99.7
113,Senate,11,15424,6,92.7
113,Senate,11,15425,1,99.1
113,Senate,11,20100,6,99.8
113,Senate,11,20101,6,76.8
113,Senate,11,20115,6,32.3
113,Senate,11,20707,1,99.7
113,Senate,11,20713,1,99.6
113,Senate,11,20717,1,96.4
113,Senate,11,20730,1,18.4
113,Senate,11,20735,1,99.8
113,Senate,11,20930,1,99.5
113,Senate,11,21173,6,96.8
113,Senate,11,29142,1,99.7
113,Senate,11,29147,1,99.7
113,Senate,11,29345,6,87.7
113,Senate,11,29373,1,99.7
113,Senate,11,29386,6,63.2
113,Senate,11,29389,1,99.6
113,Senate,11,29512,6,76.2
113,Senate,11,29534,1,32.4
113,Senate,11,29548,6,78.0
113,Senate,11,29555,6,99.3
113,Senate,11,29566,1,38.3
113,Senate,11,29722,6,74.6
113,Senate,11,29732,1,99.6
113,Senate,11,29735,1,28.6
113,Senate,11,29754,1,22.2
113,Senate,11,29906,1,99.5
113,Senate,11,29909,6,71.6
113,Senate,11,29918,6,86.4
113,Senate,11,29924,1,99.3
113,Senate,11,29935,6,97.0
113,Senate,11,29940,1,99.6
113,Senate,11,39310,1,99.8
113,Senate,11,40300,1,78.9
113,Senate,11,40301,1,97.5
113,Senate,11,40304,6,51.4
113,Senate,11,40305,6,83.9
113,Senate,11,40700,1,99.8
113,Senate,11,40701,1,98.8
113,Senate,11,40702,1,98.9
113,Senate,11,40703,1,99.2
113,Senate,11,40704,1,99.7
113,Senate,11,40705,6,68.0
113,Senate,11,40707,6,91.3
113,Senate,11,40900,1,99.0
113,Senate,11,40902,6,91.4
113,Senate,11,40904,1,99.7
113,Senate,11,40905,6,70.3
113,Senate,11,40906,1,99.5
113,Senate,11,40907,1,98.4
113,Senate,11,40908,1,99.9
113,Senate,11,40909,1,99.3
113,Senate,11,40910,1,99.6
113,Senate,11,40915,6,5.1
113,Senate,11,40916,1,99.6
113,Senate,11,41101,1,99.7
113,Senate,11,41102,6,96.6
113,Senate,11,41104,6,99.8
113,Senate,11,41106,1,46.4
113,Senate,11,41107,1,27.9
113,Senate,11,41110,6,99.8
113,Senate,11,41111,6,97.4
113,Senate,11,41112,1,99.6
113,Senate,11,41300,1,99.4
113,Senate,11,41301,1,99.0
113,Senate,11,41302,6,81.9
113,Senate,11,41303,1,96.7
113,Senate,11,41304,6,99.4
113,Senate,11,41305,1,99.5
113,Senate,11,49300,1,99.6
113,Senate,11,49308,9,99.8
113,Senate,11,49700,6,92.3
113,Senate,11,49702,1,97.6
113,Senate,11,49703,1,91.7
113,Senate,11,49706,6,91.7
113,Senate,11,94659,1,21.0
113,Senate,11,99911,9,99.7
113,Senate,19,14009,1,75.3
113,Senate,19,14203,1,99.7
113,Senate,19,14226,6,32.4
113,Senate,19,14230,1,100.0
113,Senate,19,14307,1,100.0
113,Senate,19,14440,1,100.0
113,Senate,19,14503,6,35.4
113,Senate,19,14651,1,98.8
113,Senate,19,14709,1,100.0
113,Senate,19,14806,1,68.5
113,Senate,19,14852,6,38.4
113,Senate,19,14858,1,100.0
113,Senate,19,14871,1,100.0
113,Senate,19,14914,1,100.0
113,Senate,19,14921,6,38.3
113,Senate,19,14922,1,99.9
113,Senate,19,15011,1,100.0
113,Senate,19,15015,1,99.8
113,Senate,19,15021,1,100.0
113,Senate,19,15039,1,72.5
113,Senate,19,15054,1,99.7
113,Senate,19,15408,1,100.0
113,Senate,19,15424,6,59.1
113,Senate,19,15425,1,99.7
113,Senate,19,20100,1,8.6
113,Senate,19,20101,6,45.3
113,Senate,19,20115,1,85.3
113,Senate,19,20707,1,100.0
113,Senate,19,20713,1,100.0
113,Senate,19,20717,1,96.8
113,Senate,19,20730,1,58.9
113,Senate,19,20735,1,100.0
113,Senate,19,20930,1,100.0
113,Senate,19,21173,6,69.3
113,Senate,19,29142,1,100.0
113,Senate,19,29147,1,100.0
113,Senate,19,29345,1,45.4
113,Senate,19,29373,1,100.0
113,Senate,19,29386,1,68.7
113,Senate,19,29389,1,100.0
113,Senate,19,29512,1,56.7
113,Senate,19,29534,1,60.7
113,Senate,19,29548,1,58.3
113,Senate,19,29555,6,86.7
113,Senate,19,29566,6,29.9
113,Senate,19,29722,1,57.7
113,Senate,19,29732,1,100.0
113,Senate,19,29735,6,39.8
113,Senate,19,29754,6,44.7
113,Senate,19,29906,1,100.0
113,Senate,19,29909,1,62.1
113,Senate,19,29918,1,46.4
113,Senate,19,29924,1,100.0
113,Senate,19,29935,1,33.9
113,Senate,19,29940,1,100.0
113,Senate,19,39310,1,100.0
113,Senate,19,40300,1,88.3
113,Senate,19,40301,1,98.2
113,Senate,19,40304,1,74.2
113,Senate,19,40305,6,46.7
113,Senate,19,40700,1,100.0
113,Senate,19,40701,1,99.3
113,Senate,19,40702,1,99.5
113,Senate,19,40703,1,99.9
113,Senate,19,40704,1,100.0
113,Senate,19,40705,1,67.2
113,Senate,19,40707,6,58.5
113,Senate,19,40900,1,99.7
113,Senate,19,40902,6,60.9
113,Senate,19,40904,1,100.0
113,Senate,19,40905,6,40.4
113,Senate,19,40906,1,99.9
113,Senate,19,40907,1,99.1
113,Senate,19,40908,1,100.0
113,Senate,19,40909,1,99.8
113,Senate,19,40910,1,99.9
113,Senate,19,40915,1,95.2
113,Senate,19,40916,1,99.9
113,Senate,19,41101,1,100.0
113,Senate,19,41102,6,66.4
113,Senate,19,41104,6,94.0
113,Senate,19,41106,1,76.2
113,Senate,19,41107,1,56.7
113,Senate,19,41110,6,94.0
113,Senate,19,41111,6,70.1
113,Senate,19,41112,1,100.0
113,Senate,19,41300,1,99.8
113,Senate,19,41301,1,100.0
113,Senate,19,41302,1,50.7
113,Senate,19,41303,1,97.1
113,Senate,19,41304,6,86.2
113,Senate,19,41305,1,99.9
113,Senate,19,41306,1,100.0
113,Senate,19,49300,1,100.0
113,Senate,19,49308,1,100.0
113,Senate,19,49700,6,59.3
113,Senate,19,49702,1,98.4
113,Senate,19,49703,1,95.1
113,Senate,19,49706,6,59.2
113,Senate,19,94659,1,50.3
113,Senate,19,99911,1,100.0
113,Senate,44,14009,1,72.6
113,Senate,44,14203,1,99.4
113,Senate,44,14226,6,43.3
113,Senate,44,14230,1,99.3
113,Senate,44,14307,1,99.6
113,Senate,44,14440,1,99.6
113,Senate,44,14503,1,54.6
113,Senate,44,14651,1,99.3
113,Senate,44,14709,1,99.7
113,Senate,44,14806,1,45.3
113,Senate,44,14852,6,54.8
113,Senate,44,14858,1,99.5
113,Senate,44,14871,1,99.3
113,Senate,44,14914,9,99.3
113,Senate,44,14921,1,52.1
113,Senate,44,14922,1,99.6
113,Senate,44,15011,1,99.6
113,Senate,44,15015,1,98.9
113,Senate,44,15021,1,99.5
113,Senate,44,15039,6,75.3
113,Senate,44,15054,1,99.6
113,Senate,44,15408,1,99.5
113,Senate,44,15424,6,69.3
113,Senate,44,15425,1,99.5
113,Senate,44,20100,6,96.9
113,Senate,44,20101,1,60.7
113,Senate,44,20115,6,57.4
113,Senate,44,20707,1,99.4
113,Senate,44,20713,1,99.7
113,Senate,44,20717,1,98.9
113,Senate,44,20730,6,79.3
113,Senate,44,20735,1,99.6
113,Senate,44,20930,1,99.6
113,Senate,44,21173,6,78.2
113,Senate,44,29142,1,99.6
113,Senate,44,29147,1,99.6
113,Senate,44,29345,6,52.6
113,Senate,44,29373,1,99.6
113,Senate,44,29386,6,53.1
113,Senate,44,29389,1,99.7
113,Senate,44,29512,1,56.4
113,Senate,44,29534,1,68.1
113,Senate,44,29548,6,57.5
113,Senate,44,29555,6,86.3
113,Senate,44,29566,6,55.5
113,Senate,44,29722,6,41.5
113,Senate,44,29732,1,99.6
113,Senate,44,29735,1,59.5
113,Senate,44,29754,1,55.9
113,Senate,44,29906,1,99.7
113,Senate,44,29909,1,50.8
113,Senate,44,29918,6,50.0
113,Senate,44,29924,1,99.7
113,Senate,44,29935,6,90.0
113,Senate,44,29940,1,99.7
113,Senate,44,39310,1,99.4
113,Senate,44,40300,1,73.3
113,Senate,44,40301,1,99.3
