congress,chamber,rollnumber,icpsr,cast_code,prob
112,House,24,2605,6,52.0
112,House,24,10713,6,99.9
112,House,24,13035,6,97.4
112,House,24,13047,1,91.6
112,House,24,14053,6,99.8
112,House,24,14066,6,5.6
112,House,24,14256,6,98.8
112,House,24,14280,6,95.6
112,House,24,14290,6,29.9
112,House,24,14413,1,58.8
112,House,24,14430,6,67.1
112,House,24,14435,6,98.5
112,House,24,14448,1,87.6
112,House,24,14644,1,91.7
112,House,24,14647,1,90.7
112,House,24,14657,1,75.2
112,House,24,14675,1,84.5
112,House,24,14813,1,90.5
112,House,24,14824,6,98.4
112,House,24,14854,1,96.2
112,House,24,14863,1,89.0
112,House,24,14869,1,88.9
112,House,24,14873,1,44.3
112,House,24,15000,1,13.5
112,House,24,15005,6,88.4
112,House,24,15014,1,89.1
112,House,24,15019,1,72.8
112,House,24,15029,6,45.6
112,House,24,15033,1,26.0
112,House,24,15072,6,94.4
112,House,24,15085,1,91.8
112,House,24,15092,1,89.7
112,House,24,15124,6,48.1
112,House,24,15410,6,76.7
112,House,24,15413,1,91.3
112,House,24,15420,1,92.4
112,House,24,15431,6,98.6
112,House,24,15438,6,61.5
112,House,24,15444,6,88.4
112,House,24,15445,1,93.9
112,House,24,15446,1,84.8
112,House,24,15448,6,93.3
112,House,24,15453,6,4.8
112,House,24,15454,6,82.5
112,House,24,15455,6,21.5
112,House,24,15603,6,79.4
112,House,24,15612,1,20.2
112,House,24,15613,6,99.5
112,House,24,15616,6,81.7
112,House,24,15619,6,99.6
112,House,24,15621,6,20.6
112,House,24,15627,1,89.0
112,House,24,15634,1,88.3
112,House,24,20100,1,70.1
112,House,24,20102,1,99.7
112,House,24,20103,6,98.8
112,House,24,20104,1,29.3
112,House,24,20107,1,92.6
112,House,24,20108,1,32.3
112,House,24,20110,1,90.6
112,House,24,20111,1,98.0
112,House,24,20116,6,22.0
112,House,24,20117,1,88.8
112,House,24,20119,1,45.8
112,House,24,20120,1,94.8
112,House,24,20122,6,86.1
112,House,24,20123,1,92.4
112,House,24,20124,1,95.0
112,House,24,20125,6,2.8
