state_abbrev,chamber,nominate_dim1,nominate_dim2,pieces_cosponsored,num_congresses,bioname,nominate_mid_1,nominate_mid_2,dem_cosponsors,rep_cosponsors,bill_number,vote_desc,vote_result,vote,rollnumber,icpsr,party_code_1,party_code_2
IA,1,0.362,-0.035,0.09996,0.6,"GRASSLEY, Charles Ernest",-0.069,-0.162,0.0,0.22242990654205608,HJRES30,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Labor relating to ""Prudence and Loyalty in Selecting Plan Investments and Exercising Shareholder Rights"".",Joint Resolution Passed,1,35,14226,0,1
MA,1,-0.517,-0.47,0.13353333333333334,0.6,"MARKEY, Edward John",-0.069,-0.162,0.0,0.22242990654205608,HJRES30,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Labor relating to ""Prudence and Loyalty in Selecting Plan Investments and Exercising Shareholder Rights"".",Joint Resolution Passed,0,35,14435,0,0
NY,1,-0.355,-0.414,0.10678666666666667,0.525,"SCHUMER, Charles Ellis (Chuck)",-0.069,-0.162,0.0,0.22242990654205608,HJRES30,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Labor relating to ""Prudence and Loyalty in Selecting Plan Investments and Exercising Shareholder Rights"".",Joint Resolution Passed,0,35,14858,0,0
OR,1,-0.333,-0.487,0.11181333333333333,0.55,"WYDEN, Ronald Lee",-0.069,-0.162,0.0,0.22242990654205608,HJRES30,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Labor relating to ""Prudence and Loyalty in Selecting Plan Investments and Exercising Shareholder Rights"".",Joint Resolution Passed,0,35,14871,0,0
KY,1,0.402,0.017,0.03762666666666667,0.475,"McCONNELL, Addison Mitchell (Mitch)",-0.069,-0.162,0.0,0.22242990654205608,HJRES30,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Labor relating to ""Prudence and Loyalty in Selecting Plan Investments and Exercising Shareholder Rights"".",Joint Resolution Passed,1,35,14921,0,1
DE,1,-0.179,-0.225,0.06092,0.4,"CARPER, Thomas Richard",-0.069,-0.162,0.0,0.22242990654205608,HJRES30,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Labor relating to ""Prudence and Loyalty in Selecting Plan Investments and Exercising Shareholder Rights"".",Joint Resolution Passed,0,35,15015,0,0
IL,1,-0.342,-0.31,0.1376,0.5,"DURBIN, Richard Joseph",-0.069,-0.162,0.0,0.22242990654205608,HJRES30,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Labor relating to ""Prudence and Loyalty in Selecting Plan Investments and Exercising Shareholder Rights"".",Joint Resolution Passed,0,35,15021,0,0
MD,1,-0.32,-0.224,0.08349333333333334,0.45,"CARDIN, Benjamin Louis",-0.069,-0.162,0.0,0.22242990654205608,HJRES30,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Labor relating to ""Prudence and Loyalty in Selecting Plan Investments and Exercising Shareholder Rights"".",Joint Resolution Passed,0,35,15408,0,0
AR,1,0.427,0.338,0.05553333333333333,0.275,"BOOZMAN, John",-0.069,-0.162,0.0,0.22242990654205608,HJRES30,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Labor relating to ""Prudence and Loyalty in Selecting Plan Investments and Exercising Shareholder Rights"".",Joint Resolution Passed,1,35,20101,0,1
WV,1,0.284,0.143,0.05162666666666667,0.275,"CAPITO, Shelley Moore",-0.069,-0.162,0.0,0.22242990654205608,HJRES30,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Labor relating to ""Prudence and Loyalty in Selecting Plan Investments and Exercising Shareholder Rights"".",Joint Resolution Passed,1,35,20146,0,1
