congress,chamber,rollnumber,icpsr,cast_code,prob
112,Senate,19,4812,1,88.7
112,Senate,19,14009,1,98.6
112,Senate,19,14203,6,8.5
112,Senate,19,14226,1,98.1
112,Senate,19,14230,6,36.2
112,Senate,19,14307,1,80.9
112,Senate,19,14400,1,89.8
112,Senate,19,14440,1,80.1
112,Senate,19,14503,1,98.4
112,Senate,19,14506,1,89.6
112,Senate,19,14651,1,97.4
112,Senate,19,14661,1,83.3
112,Senate,19,14709,1,79.2
112,Senate,19,14806,1,95.5
112,Senate,19,14852,1,97.5
112,Senate,19,14858,1,69.5
112,Senate,19,14871,1,67.5
112,Senate,19,14912,1,90.3
112,Senate,19,14914,6,39.5
112,Senate,19,14920,9,71.0
112,Senate,19,14921,1,98.5
112,Senate,19,14922,1,91.3
112,Senate,19,15011,1,63.6
112,Senate,19,15015,1,85.6
112,Senate,19,15021,1,74.6
112,Senate,19,15039,1,85.4
112,Senate,19,15054,1,94.6
112,Senate,19,15408,1,79.2
112,Senate,19,15424,1,98.7
112,Senate,19,15425,1,93.1
112,Senate,19,15429,1,91.6
112,Senate,19,15502,1,98.1
112,Senate,19,15703,1,75.2
112,Senate,19,15704,1,81.4
112,Senate,19,20101,1,99.8
112,Senate,19,20115,1,83.6
112,Senate,19,20735,1,68.2
112,Senate,19,29142,1,79.4
112,Senate,19,29147,6,42.1
112,Senate,19,29345,1,99.7
112,Senate,19,29373,1,80.4
112,Senate,19,29386,1,95.8
112,Senate,19,29389,6,21.7
112,Senate,19,29512,1,99.5
112,Senate,19,29534,1,99.8
112,Senate,19,29537,1,90.4
112,Senate,19,29548,1,97.8
112,Senate,19,29555,1,97.7
112,Senate,19,29566,1,94.7
112,Senate,19,29722,1,99.6
112,Senate,19,29732,1,85.2
112,Senate,19,29735,1,99.4
112,Senate,19,29754,1,99.6
112,Senate,19,29906,1,86.8
112,Senate,19,29909,1,98.3
112,Senate,19,29918,1,99.8
112,Senate,19,29924,6,14.8
112,Senate,19,29935,1,92.0
112,Senate,19,29936,1,96.5
112,Senate,19,39310,1,72.7
112,Senate,19,40103,1,99.8
112,Senate,19,40300,1,92.8
112,Senate,19,40301,9,98.5
112,Senate,19,40304,1,96.2
112,Senate,19,40305,1,97.8
112,Senate,19,40700,1,77.3
112,Senate,19,40701,1,93.6
112,Senate,19,40702,6,5.6
112,Senate,19,40703,1,91.5
112,Senate,19,40704,1,81.7
112,Senate,19,40705,1,93.2
112,Senate,19,40706,1,92.9
112,Senate,19,40707,1,99.4
112,Senate,19,40900,6,6.3
112,Senate,19,40902,1,99.9
112,Senate,19,40904,1,77.0
112,Senate,19,40905,1,99.7
112,Senate,19,40906,1,86.7
112,Senate,19,40907,1,96.6
112,Senate,19,40908,6,50.6
112,Senate,19,40909,1,90.0
112,Senate,19,40910,1,84.5
112,Senate,19,40913,1,92.0
112,Senate,19,40915,1,99.2
112,Senate,19,40916,1,83.4
112,Senate,19,41101,1,75.5
112,Senate,19,41102,1,95.8
112,Senate,19,41104,6,13.9
112,Senate,19,41106,1,85.6
112,Senate,19,41107,1,99.9
112,Senate,19,41110,6,13.9
112,Senate,19,41111,1,96.4
112,Senate,19,49300,1,83.2
112,Senate,19,49306,1,98.5
112,Senate,19,49308,6,26.2
112,Senate,19,49700,1,99.2
112,Senate,19,49702,1,98.3
112,Senate,19,49703,1,85.6
112,Senate,19,49706,1,99.5
112,Senate,19,94659,1,100.0
112,Senate,19,99911,1,78.2
112,Senate,25,4812,1,100.0
112,Senate,25,14009,1,99.8
112,Senate,25,14203,1,100.0
112,Senate,25,14226,1,99.0
112,Senate,25,14230,1,100.0
112,Senate,25,14307,1,100.0
112,Senate,25,14400,1,100.0
112,Senate,25,14440,1,100.0
112,Senate,25,14503,1,98.4
112,Senate,25,14506,1,99.9
112,Senate,25,14651,1,100.0
112,Senate,25,14661,1,100.0
112,Senate,25,14709,1,100.0
112,Senate,25,14806,1,99.2
112,Senate,25,14852,1,97.5
112,Senate,25,14858,1,100.0
112,Senate,25,14871,1,100.0
112,Senate,25,14912,1,100.0
112,Senate,25,14914,1,100.0
112,Senate,25,14920,9,100.0
112,Senate,25,14921,1,97.4
112,Senate,25,14922,1,100.0
112,Senate,25,15011,1,100.0
112,Senate,25,15015,1,100.0
112,Senate,25,15021,1,100.0
112,Senate,25,15039,9,99.5
112,Senate,25,15054,1,100.0
112,Senate,25,15408,1,100.0
112,Senate,25,15424,1,74.9
112,Senate,25,15425,1,100.0
112,Senate,25,15429,1,87.6
112,Senate,25,15502,1,100.0
112,Senate,25,15703,1,100.0
112,Senate,25,15704,1,100.0
112,Senate,25,20101,1,91.4
112,Senate,25,20115,1,100.0
112,Senate,25,20735,1,100.0
112,Senate,25,29142,1,100.0
112,Senate,25,29147,9,N/A
112,Senate,25,29345,6,22.0
112,Senate,25,29373,1,100.0
112,Senate,25,29386,1,99.2
112,Senate,25,29389,1,100.0
112,Senate,25,29512,1,94.1
112,Senate,25,29534,1,96.3
112,Senate,25,29537,1,93.4
112,Senate,25,29548,1,96.1
112,Senate,25,29555,1,11.6
112,Senate,25,29566,1,99.4
112,Senate,25,29722,1,94.7
