congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc,dem_cosponsors,rep_cosponsors
109,Senate,9,2005-02-10,1,9,72,26,-0.277,-0.001,-0.479,0.216,-22.916,S5,Bill Passed,"A bill to amend the procedures that apply to consideration of interstate class actions to assure fairer outcomes for class members and defendants, and for other purposes.",On Passage of the Bill,,8,25
109,Senate,11,2005-02-17,1,11,98,0,0.0,0.0,0.0,0.0,0.0,S306,Bill Passed,A bill to prohibit discrimination on the basis of genetic information with respect to health insurance and employment.,On Passage of the Bill,,14,10
109,Senate,19,2005-03-03,1,19,52,46,-0.314,-0.949,0.141,-0.358,-43.249,SJRES4,Joint Resolution Passed,"A joint resolution providing for congressional disapproval of the rule submitted by the Department of Agriculture under chapter 8 of title 5, United States Code, relating to risk zones for introduction of bovine spongiform encephalopathy.",On the Joint Resolution,,8,3
109,Senate,43,2005-03-10,1,43,99,0,0.0,0.0,0.0,0.0,0.0,S250,Bill Passed,A bill to amend the Carl D. Perkins Vocational and Technical Education Act of 1998 to improve the Act.,On Passage of the Bill,,9,9
109,Senate,44,2005-03-10,1,44,74,25,-0.303,-0.012,-0.706,-0.65,-13.286,S256,Bill Passed,"A bill to amend title 11 of the United States Code, and for other purposes.",On Passage of the Bill,,2,10
109,Senate,109,2005-04-21,1,109,99,0,0.0,0.0,0.0,0.0,0.0,HR1268,Bill Passed,"An act making Emergency Supplemental Appropriations for Defense, the Global War on Terror, and Tsunami Relief, for the fiscal year ending September 30, 2005, and for other purposes.",On Passage of the Bill,,0,0
109,Senate,125,2005-05-17,1,125,89,11,0.553,-0.307,0.172,-0.661,-24.358,HR3,Bill Passed,"A bill to authorize funds for Federal-aid highways, highway safety programs, and transit programs, and for other purposes.",On Passage of the Bill,,39,40
109,Senate,158,2005-06-28,1,158,85,12,0.316,-0.788,0.006,-0.599,-28.781,HR6,Bill Passed,"A bill to ensure jobs for our future with secure, affordable, and reliable energy.",On Passage of the Bill,,0,2
109,Senate,168,2005-06-29,1,168,94,0,0.0,0.0,0.0,0.0,0.0,HR2361,Bill Passed,"A bill making appropriations for the Department of the Interior, environment, and related agencies for the fiscal year ending September 30, 2006, and for other purposes.",On Passage of the Bill,,0,0
109,Senate,170,2005-06-30,1,170,54,45,-0.307,-0.952,-0.129,0.221,-48.969,S1307,Bill Passed,A bill to implement the Dominican Republic-Central America-United States Free Trade Agreement.,On Passage of the Bill,,1,1
109,Senate,172,2005-07-01,1,172,92,3,0.49,-0.649,0.372,-1.042,-6.305,HR2419,Bill Passed,"A bill making appropriations for energy and water development for the fiscal year ending September 30, 2006, and for other purposes.",On Passage of the Bill,,0,0
109,Senate,189,2005-07-14,1,189,96,1,0.0,0.0,0.0,0.0,0.0,HR2360,Bill Passed,"A bill making appropriations for the Department of Homeland Security for the fiscal year ending September 30, 2006, and for other purposes.",On Passage of the Bill,,0,0
109,Senate,191,2005-07-19,1,191,97,1,0.0,0.0,0.0,0.0,0.0,HJRES52,Joint Resolution Passed,A joint resolution approving the renewal of import restrictions contained in the Burmese Freedom and Democracy Act of 2003.,On the Joint Resolution,,31,14
109,Senate,197,2005-07-20,1,197,98,1,0.0,0.0,0.0,0.0,0.0,HR3057,Bill Passed,"An act making appropriations for the Department of State, foreign operations, and related programs for the fiscal year ending September 30, 2006, and for other purposes.",On Passage of the Bill,,0,0
109,Senate,209,2005-07-28,1,209,55,45,-0.33,-0.944,-0.129,0.234,-49.871,HR3045,Bill Passed,A bill to implement the Dominican Republic-Central America-United States Free Trade Agreement.,On Passage of the Bill,,1,0
109,Senate,219,2005-07-29,1,219,65,31,-0.328,0.207,-0.291,-0.585,-19.28,S397,Bill Passed,"A bill to prohibit civil liability actions from being brought or continued against manufacturers, distributors, dealers, or importers of firearms or ammunition for damages, injunctive or other relief resulting from the misuse of their products by others.",On Passage of the Bill,,11,50
109,Senate,223,2005-09-08,1,223,97,0,0.0,0.0,0.0,0.0,0.0,HR3673,Bill Passed,"A bill making further emergency supplemental appropriations to meet immediate needs arising from the consequences of Hurricane Katrina, for the fiscal year ending September 30, 2005, and for other purposes.",On Passage of the Bill,,0,0
109,Senate,225,2005-09-13,1,225,47,51,-0.321,0.59,0.286,0.758,-26.086,SJRES20,Joint Resolution Defeated,A joint resolution disapproving a rule promulgated by the Administrator of the Environmental Protection Agency to delist coal and oil-direct utility units from the source category list under the Clean Air Act.,On the Joint Resolution,,29,2
109,Senate,235,2005-09-15,1,235,91,4,0.347,0.938,0.336,0.636,-9.077,HR2862,Bill Passed,"An Act making appropriations for the Departments of Commerce and Justice, Science, and related agencies, for the fiscal year ending September 30, 2006, and for other purposes.",On Passage of the Bill,,0,0
109,Senate,241,2005-09-22,1,241,97,2,0.0,0.0,0.0,0.0,0.0,HR2744,Bill Passed,"A bill making appropriations for Agriculture, Rural Development, Food and Drug Administration, and Related Agencies for the fiscal year ending September 30, 2006, and for other purposes.",On Passage of the Bill,,0,0
109,Senate,243,2005-09-22,1,243,98,0,0.0,0.0,0.0,0.0,0.0,HR2528,Bill Passed,"An Act making appropriations for Military Construction and Veterans Affairs, and Related Agencies for the fiscal year ending September 30, 2006, and for other purposes.",On Passage of the Bill,,0,0
109,Senate,254,2005-10-07,1,254,97,0,0.0,0.0,0.0,0.0,0.0,HR2863,Bill Passed,"A bill making appropriations for the Department of Defense for the fiscal year ending September 30, 2006, and for other purposes.",On Passage of the Bill,,0,0
109,Senate,264,2005-10-20,1,264,93,1,0.0,0.0,0.0,0.0,0.0,HR3058,Bill Passed,"A bill making appropriations for the Departments of Transportation, Treasury, and Housing and Urban Development, the Judiciary, District of Columbia, and independent agencies for the fiscal year ending September 30, 2006, and for other purposes.",On Passage of the Bill,,0,0
109,Senate,281,2005-10-27,1,281,94,3,0.773,-0.635,0.233,0.026,-11.976,HR3010,Bill Passed,"A bill making appropriations for the Departments of Labor, Health and Human Services, and Education, and Related Agencies for the fiscal year ending September 30, 2006, and for other purposes.",On Passage of the Bill,,0,0
109,Senate,303,2005-11-03,1,303,52,47,0.081,-0.236,-0.315,-0.365,-11.926,S1932,Bill Passed,An original bill to provide for reconciliation pursuant to section 202(a) of the concurrent resolution on the budget for fiscal year 2006 (H. Con. Res. 95).,On Passage of the Bill,,0,0
109,Senate,326,2005-11-15,1,326,98,0,0.0,0.0,0.0,0.0,0.0,S1042,Bill Passed,"An original bill to authorize appropriations for fiscal year 2006 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe personnel strengths for such fiscal year for the Armed Forces, and for other purposes.",On Passage of the Bill,,0,0
109,Senate,328,2005-11-16,1,328,97,2,0.0,0.0,0.0,0.0,0.0,S1783,Bill Passed,"A bill to amend the Employee Retirement Income Security Act of 1974 and the Internal Revenue Code of 1986 to reform the pension funding rules, and for other purposes.",On Passage of the Bill,,2,1
109,Senate,347,2005-11-18,1,347,64,33,-0.232,0.057,-0.151,-0.199,-35.764,S2020,Bill Passed,An original bill to provide for reconciliation pursuant to section 202(b) of the concurrent resolution on the budget for fiscal year 2006.,On Passage of the Bill,,0,0
109,Senate,376,2006-02-02,2,10,66,31,-0.306,0.158,-0.155,-0.235,-36.003,HR4297,Bill Passed,A bill to provide for reconciliation pursuant to section 201(b) of the concurrent resolution on the budget for fiscal year 2006.,On Passage of the Bill,,0,0
109,Senate,377,2006-02-02,2,11,95,1,0.0,0.0,0.0,0.0,0.0,HR4659,Bill Passed,A bill to amend the USA PATRIOT ACT to extend the sunset of certain provisions of such Act.,On Passage of the Bill,,0,0
109,Senate,391,2006-03-01,2,25,95,4,-0.555,0.47,-0.276,-0.049,-13.964,S2271,Bill Passed,"A bill to clarify that individuals who receive FISA orders can challenge nondisclosure requirements, that individuals who receive national security letters are not required to disclose the name of their attorney, that libraries are not wire or electronic communication service providers unless they provide specific services, and for other purposes.",On Passage of the Bill,,0,3
109,Senate,420,2006-03-16,2,54,52,48,-0.229,-0.973,-0.316,0.602,-15.16,HJRES47,Joint Resolution Passed,A joint resolution increasing the statutory limit on the public debt.,On the Joint Resolution,,0,0
109,Senate,440,2006-03-16,2,74,51,49,-0.03,0.533,-0.261,-0.207,-16.765,SCONRES83,Bill Passed,An original concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2007 and including the appropriate budgetary levels for fiscal years 2006 and 2008 through 2011.,On Passage of the Bill,,0,0
109,Senate,448,2006-03-29,2,82,90,8,0.858,0.514,0.291,-0.506,-20.651,S2349,Bill Passed,"To provide greater transparency with respect to lobbying activities, to amend the Federal Election Campaign Act of 1971 to clarify when organizations described in section 527 of the Internal Revenue Code of 1986 must register as political committees, and for other purposes.",On Passage of the Bill,,0,0
109,Senate,478,2006-05-04,2,112,77,21,0.438,-0.06,0.444,-0.353,-22.219,HR4939,Bill Passed,"A bill making emergency supplemental appropriations for the fiscal year ending September 30, 2006, and for other purposes.",On Passage of the Bill,,0,0
109,Senate,523,2006-05-25,2,157,62,36,0.32,-0.148,0.189,0.804,-28.653,S2611,Bill Passed,A bill to provide for comprehensive immigration reform and for other purposes.,On Passage of the Bill,,1,5
109,Senate,552,2006-06-22,2,186,96,0,0.0,0.0,0.0,0.0,0.0,S2766,Bill Passed,"An original bill to authorize appropriations for fiscal year 2007 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe personnel strengths for such fiscal year for the Armed Forces, and for other purposes.",On Passage of the Bill,,0,0
109,Senate,555,2006-06-27,2,189,66,34,-0.177,-0.109,-0.167,-0.24,-31.861,SJRES12,Joint Resolution Defeated,A joint resolution proposing an amendment to the Constitution of the United States authorizing Congress to prohibit the physical desecration of the flag of the United States.,On the Joint Resolution,,9,50
109,Senate,556,2006-06-29,2,190,60,34,-0.142,0.113,-0.128,-0.005,-37.466,S3569,Bill Passed,A bill to implement the United States-Oman Free Trade Agreement.,On Passage of the Bill,,1,0
109,Senate,569,2006-07-13,2,203,100,0,0.0,0.0,0.0,0.0,0.0,HR5441,Bill Passed,"A bill making appropriations for the Department of Homeland Securityfor the fiscal year ending September 30, 2007, and for other purposes.",On Passage of the Bill,,0,0
109,Senate,570,2006-07-18,2,204,100,0,0.0,0.0,0.0,0.0,0.0,S3504,Bill Passed,"A bill to amend the Public Health Service Act to prohibit the solicitation or acceptance of tissue from fetuses gestated for research purposes, and for other purposes.",On Passage of the Bill,,0,3
109,Senate,571,2006-07-18,2,205,100,0,0.0,0.0,0.0,0.0,0.0,S2754,Bill Passed,A bill to derive human pluripotent stem cell lines using techniques that do not knowingly harm embryos.,On Passage of the Bill,,0,5
109,Senate,572,2006-07-18,2,206,63,37,-0.023,1.0,0.266,0.382,-28.248,HR810,Bill Passed,A bill to amend the Public Health Service Act to provide for human embryonic stem cell research.,On Passage of the Bill,,176,25
109,Senate,578,2006-07-20,2,212,98,0,0.0,0.0,0.0,0.0,0.0,HR9,Bill Passed,A bill to amend the Voting Rights Act of 1965.,On Passage of the Bill,,124,27
