congress,chamber,rollnumber,icpsr,cast_code,prob
109,House,37,2605,6,89.1
109,House,37,10713,6,99.5
109,House,37,12036,6,92.4
109,House,37,13035,9,97.2
109,House,37,13047,1,99.9
109,House,37,14045,1,99.6
109,House,37,14053,6,99.4
109,House,37,14066,1,99.8
109,House,37,14072,1,55.9
109,House,37,14239,1,99.8
109,House,37,14256,6,98.3
109,House,37,14265,6,96.9
109,House,37,14280,6,95.2
109,House,37,14290,1,98.8
109,House,37,14413,6,65.6
109,House,37,14430,6,83.3
109,House,37,14432,1,97.0
109,House,37,14435,6,97.4
109,House,37,14448,1,42.4
109,House,37,14451,6,20.3
109,House,37,14644,1,99.9
109,House,37,14647,1,99.9
109,House,37,14656,6,97.2
109,House,37,14657,1,99.6
109,House,37,14669,1,99.8
109,House,37,14675,1,99.8
109,House,37,14813,1,99.9
109,House,37,14824,6,96.7
109,House,37,14835,1,99.9
109,House,37,14837,6,82.2
109,House,37,14854,1,99.9
109,House,37,14860,1,99.8
109,House,37,14863,1,99.4
109,House,37,14869,1,99.8
109,House,37,14873,6,81.2
109,House,37,14875,1,99.9
109,House,37,15000,6,90.9
109,House,37,15005,6,88.7
109,House,37,15006,1,99.9
109,House,37,15007,1,96.2
109,House,37,15010,1,49.0
109,House,37,15014,1,99.9
109,House,37,15019,1,72.5
109,House,37,15023,6,93.3
109,House,37,15028,1,97.9
109,House,37,15029,6,72.8
109,House,37,15033,6,83.4
109,House,37,15049,6,43.7
109,House,37,15050,6,98.7
109,House,37,15064,6,47.2
109,House,37,15072,6,97.0
109,House,37,15083,6,50.0
109,House,37,15085,1,99.9
109,House,37,15092,1,99.9
109,House,37,15094,1,99.9
109,House,37,15100,1,67.7
109,House,37,15104,1,41.5
109,House,37,15105,1,99.7
109,House,37,15112,1,99.5
109,House,37,15124,6,83.3
109,House,37,15245,6,90.3
109,House,37,15401,9,99.9
109,House,37,15408,6,72.9
109,House,37,15410,6,89.5
109,House,37,15413,1,99.9
109,House,37,15417,1,99.9
109,House,37,15419,1,99.9
109,House,37,15420,1,99.9
109,House,37,15431,6,98.9
109,House,37,15438,6,75.5
109,House,37,15444,6,93.9
109,House,37,15445,1,99.9
109,House,37,15446,1,99.8
109,House,37,15447,1,99.5
109,House,37,15448,6,95.7
109,House,37,15449,1,95.0
109,House,37,15451,1,99.9
