congress,chamber,rollnumber,icpsr,cast_code,prob
118,House,103,14854,1,100.0
118,House,103,14863,1,96.9
118,House,103,14873,6,98.2
118,House,103,15029,6,96.9
118,House,103,15433,6,100.0
118,House,103,15448,6,100.0
118,House,103,15454,6,99.9
118,House,103,15616,6,99.8
118,House,103,20104,6,99.5
118,House,103,20107,1,100.0
118,House,103,20119,6,98.2
118,House,103,20122,6,99.9
118,House,103,20124,1,100.0
118,House,103,20138,1,100.0
118,House,103,20145,6,97.2
118,House,103,20301,1,100.0
118,House,103,20305,6,100.0
118,House,103,20310,6,99.9
118,House,103,20316,1,100.0
118,House,103,20321,6,94.1
118,House,103,20322,6,94.1
118,House,103,20329,6,95.1
118,House,103,20342,1,100.0
118,House,103,20344,1,100.0
118,House,103,20355,1,100.0
118,House,103,20356,1,100.0
118,House,103,20501,6,57.9
118,House,103,20504,6,98.9
118,House,103,20517,6,99.7
118,House,103,20519,6,99.1
118,House,103,20521,1,100.0
118,House,103,20522,1,100.0
118,House,103,20529,6,97.9
118,House,103,20530,1,100.0
118,House,103,20533,6,50.3
118,House,103,20535,1,100.0
118,House,103,20537,6,100.0
118,House,103,20538,6,99.9
118,House,103,20704,1,100.0
118,House,103,20706,6,98.2
118,House,103,20708,6,99.3
118,House,103,20709,1,100.0
118,House,103,20712,6,99.8
118,House,103,20724,6,99.9
118,House,103,20725,1,100.0
118,House,103,20729,1,100.0
118,House,103,20733,6,100.0
118,House,103,20738,1,100.0
118,House,103,20748,9,100.0
118,House,103,20749,6,98.6
118,House,103,20755,1,100.0
118,House,103,20756,1,100.0
118,House,103,20757,6,99.5
118,House,103,20758,1,100.0
118,House,103,20759,1,100.0
118,House,103,20903,1,100.0
118,House,103,20907,6,98.5
118,House,103,20909,1,100.0
118,House,103,20916,1,100.0
118,House,103,20920,6,100.0
118,House,103,20926,1,100.0
118,House,103,20927,6,99.2
118,House,103,20934,6,100.0
118,House,103,20946,1,100.0
118,House,103,20952,6,98.5
118,House,103,20954,6,99.7
118,House,103,20955,6,100.0
118,House,103,20958,6,99.0
118,House,103,21102,6,93.6
118,House,103,21103,1,100.0
118,House,103,21105,1,100.0
118,House,103,21106,1,100.0
118,House,103,21108,1,100.0
118,House,103,21116,1,100.0
118,House,103,21118,6,99.8
118,House,103,21123,1,100.0
118,House,103,21132,1,100.0
118,House,103,21139,1,100.0
118,House,103,21140,6,99.2
118,House,103,21142,1,100.0
118,House,103,21162,1,100.0
118,House,103,21167,1,100.0
118,House,103,21172,6,99.9
118,House,103,21174,1,100.0
118,House,103,21178,1,100.0
